,state,gender,median_home_val,median_household_income,ic2,ic3,ic4,ic5,avggift
851,CA,F,770.0,611.0,655.0,669.0,709.0,23641.0,6.5
852,NV,M,1117.0,461.0,461.0,461.0,450.0,16614.0,6.428571429
853,FL,F,814.0,268.0,282.0,298.0,312.0,10427.0,10.4
854,CA,F,1814.0,328.0,418.0,380.0,410.0,14056.0,10.66666667
855,WA,F,403.0,195.0,288.0,237.0,365.0,11859.0,20.0
856,MO,F,613.0,264.0,323.0,300.0,357.0,12334.0,10.66666667
857,MI,M,770.0,312.0,360.0,357.0,402.0,14056.0,18.42857143
858,KS,F,958.0,467.0,499.0,525.0,582.0,14056.0,7.6
859,TN,F,1129.0,332.0,445.0,429.0,537.0,22706.0,20.83333333
860,KS,M,452.0,270.0,300.0,297.0,324.0,11198.0,14.8
861,FL,M,986.0,485.0,495.0,530.0,402.0,14056.0,20.11111111
862,AR,M,655.0,215.0,247.0,267.0,305.0,12067.0,14.44
863,KY,M,459.0,133.0,195.0,237.0,258.0,13898.0,3.52173913
864,TX,M,674.0,317.0,402.0,458.0,553.0,19769.0,5.363636364
865,TX,F,348.0,197.0,223.0,239.0,265.0,7978.0,10.22692308
866,CA,M,1876.0,393.0,404.0,419.0,450.0,11692.0,10.0
867,FL,M,865.0,312.0,387.0,392.0,432.0,15630.0,6.266666667
868,CA,M,666.0,213.0,253.0,268.0,288.0,8943.0,8.166666667
869,FL,M,809.0,358.0,389.0,411.0,446.0,16099.0,13.71428571
870,MO,F,987.0,296.0,354.0,344.0,412.0,17097.0,10.0
871,FL,M,770.0,312.0,360.0,357.0,402.0,14056.0,15.0
872,TX,M,503.0,213.0,255.0,262.0,292.0,9495.0,4.5
873,NM,F,1004.0,189.0,247.0,236.0,313.0,12667.0,5.05
874,TX,F,1565.0,312.0,360.0,704.0,402.0,14056.0,6.1
875,CA,F,872.0,294.0,307.0,343.0,356.0,12433.0,20.4
876,IN,F,501.0,305.0,374.0,354.0,399.0,13073.0,20.77777778
877,WI,F,331.0,154.0,237.0,217.0,273.0,10270.0,4.444444444
878,CA,M,620.0,312.0,270.0,279.0,309.0,10406.0,12.36142857
879,SC,M,747.0,312.0,457.0,396.0,488.0,18371.0,15.0
880,NC,F,1491.0,396.0,489.0,472.0,566.0,26286.0,14.0
881,WA,F,756.0,333.0,372.0,391.0,430.0,14127.0,8.769230769
882,TX,F,487.0,217.0,222.0,247.0,262.0,10468.0,9.888888889
883,SC,M,651.0,310.0,345.0,337.0,382.0,12428.0,7.611111111
884,OK,F,693.0,404.0,479.0,439.0,402.0,16698.0,5.125
885,CA,F,1063.0,312.0,148.0,206.0,223.0,6871.0,3.035714286
886,MI,F,609.0,403.0,424.0,422.0,466.0,14455.0,19.25
887,TX,F,439.0,268.0,301.0,307.0,341.0,10164.0,5.8
888,WA,F,871.0,339.0,355.0,363.0,384.0,11889.0,9.5
889,MI,F,313.0,159.0,256.0,220.0,274.0,7661.0,16.25
890,IL,M,1059.0,334.0,513.0,392.0,528.0,17632.0,7.583333333
891,LA,M,687.0,257.0,310.0,291.0,328.0,10271.0,9.0
892,IA,M,397.0,248.0,270.0,296.0,313.0,10348.0,14.4
893,CA,F,770.0,595.0,649.0,641.0,691.0,22684.0,13.65517241
894,WI,F,506.0,270.0,323.0,326.0,346.0,12940.0,8.6
895,IL,F,412.0,311.0,354.0,342.0,380.0,14056.0,9.333333333
896,MI,F,360.0,312.0,239.0,233.0,267.0,9463.0,9.142857143
897,WA,M,423.0,208.0,229.0,261.0,296.0,9445.0,4.380952381
898,GA,F,745.0,304.0,275.0,353.0,342.0,14465.0,5.166666667
899,NM,M,691.0,284.0,294.0,319.0,337.0,11852.0,17.16
900,OK,F,657.0,358.0,366.0,357.0,366.0,10889.0,10.0
901,TX,F,978.0,428.0,559.0,475.0,609.0,23102.0,4.333333333
902,CA,F,1586.0,308.0,321.0,337.0,369.0,14056.0,9.5
903,MI,M,1596.0,549.0,603.0,631.0,672.0,23345.0,10.875
904,CA,F,2105.0,301.0,314.0,372.0,395.0,13279.0,15.33333333
905,IL,F,1480.0,560.0,684.0,635.0,718.0,22088.0,7.617021277
906,OR,F,585.0,216.0,266.0,255.0,292.0,10423.0,9.727272727
907,MI,F,1033.0,488.0,611.0,565.0,651.0,22157.0,10.33333333
908,IL,M,340.0,147.0,178.0,217.0,252.0,7173.0,10.0
909,IL,F,1708.0,342.0,413.0,374.0,455.0,21795.0,12.6875
910,KS,F,1419.0,312.0,698.0,357.0,402.0,25024.0,7.363636364
911,CA,F,770.0,306.0,367.0,418.0,449.0,24944.0,8.642857143
912,TN,M,556.0,202.0,346.0,270.0,389.0,14382.0,13.11111111
913,TN,M,972.0,193.0,278.0,281.0,318.0,8716.0,11.42857143
914,TX,F,498.0,227.0,278.0,282.0,315.0,10907.0,7.454545455
915,FL,M,878.0,285.0,331.0,349.0,410.0,16534.0,10.47058824
916,CA,M,883.0,281.0,333.0,315.0,362.0,14056.0,14.85714286
917,NM,F,670.0,231.0,287.0,282.0,290.0,9443.0,11.66666667
918,NM,M,589.0,270.0,317.0,292.0,325.0,10889.0,8.588235294
919,CA,F,770.0,481.0,490.0,519.0,523.0,16047.0,14.42857143
920,IL,M,677.0,426.0,466.0,442.0,489.0,18718.0,10.66666667
921,MO,F,464.0,164.0,257.0,224.0,285.0,9685.0,8.222222222
922,NC,M,600.0,257.0,308.0,292.0,349.0,12433.0,9.52631579
923,MI,F,707.0,282.0,393.0,383.0,474.0,15832.0,4.176470588
924,CA,F,1537.0,495.0,509.0,528.0,402.0,17689.0,11.19230769
925,SC,F,682.0,366.0,464.0,421.0,498.0,14538.0,8.0
926,CA,F,1943.0,312.0,353.0,355.0,381.0,16083.0,10.0
927,FL,M,1037.0,439.0,456.0,511.0,529.0,18050.0,10.0
928,IN,F,595.0,284.0,317.0,333.0,406.0,13860.0,9.0
929,IL,F,375.0,267.0,270.0,295.0,296.0,8354.0,20.0
930,AL,F,397.0,312.0,329.0,336.0,386.0,13233.0,9.777777778
931,MI,F,584.0,283.0,386.0,307.0,386.0,14843.0,15.0
932,WA,F,534.0,206.0,231.0,248.0,272.0,9104.0,13.55555556
933,MI,M,362.0,209.0,235.0,246.0,275.0,8558.0,9.722222222
934,GA,M,991.0,493.0,506.0,532.0,548.0,17344.0,5.8
935,CA,F,1805.0,398.0,394.0,441.0,447.0,14703.0,10.66666667
936,MN,F,476.0,202.0,274.0,236.0,402.0,10581.0,10.73333333
937,CA,F,770.0,181.0,159.0,192.0,167.0,11346.0,6.0
938,TX,F,340.0,180.0,227.0,235.0,279.0,9343.0,15.33333333
939,NC,F,482.0,302.0,328.0,396.0,462.0,15573.0,12.5
940,WI,F,322.0,233.0,258.0,291.0,320.0,10317.0,15.0
941,TX,F,655.0,406.0,432.0,430.0,481.0,14056.0,9.0
942,MN,F,908.0,487.0,482.0,499.0,493.0,14526.0,5.090909091
943,WA,F,718.0,471.0,508.0,497.0,541.0,18190.0,11.07692308
944,CA,M,770.0,252.0,332.0,302.0,392.0,19558.0,10.66666667
945,GA,M,397.0,184.0,219.0,237.0,285.0,9831.0,9.333333333
946,MI,M,1040.0,220.0,309.0,256.0,278.0,14056.0,7.9375
947,AR,M,675.0,186.0,238.0,207.0,265.0,11355.0,6.111111111
948,FL,M,719.0,381.0,398.0,389.0,410.0,13552.0,11.33333333
949,FL,F,588.0,233.0,249.0,254.0,266.0,10309.0,8.333333333
950,IL,F,1053.0,368.0,419.0,402.0,465.0,15176.0,8.333333333
951,IL,F,419.0,279.0,295.0,296.0,303.0,7285.0,12.0
952,TX,F,481.0,172.0,218.0,227.0,264.0,14056.0,15.0
953,GA,F,803.0,397.0,407.0,432.0,441.0,15380.0,20.0
954,CA,F,886.0,318.0,339.0,360.0,388.0,12332.0,5.222222222
955,NC,F,1093.0,580.0,587.0,629.0,636.0,14056.0,7.333333333
956,MO,F,257.0,148.0,264.0,194.0,273.0,10050.0,10.125
957,AR,M,1453.0,419.0,426.0,486.0,497.0,24530.0,10.0
958,NC,F,821.0,427.0,433.0,456.0,475.0,15937.0,6.654411765
959,TX,M,931.0,416.0,636.0,543.0,725.0,14056.0,15.0
960,MO,F,496.0,330.0,360.0,360.0,390.0,13546.0,5.571428571
961,MS,F,463.0,181.0,231.0,227.0,258.0,8369.0,12.75
962,FL,F,1093.0,364.0,424.0,357.0,441.0,15640.0,9.25
963,AR,M,852.0,344.0,450.0,394.0,498.0,14056.0,12.5
964,FL,F,1074.0,505.0,524.0,528.0,553.0,16470.0,10.0
965,FL,F,1452.0,352.0,397.0,410.0,467.0,20619.0,10.0
966,MI,F,813.0,246.0,263.0,297.0,313.0,11406.0,9.25
967,TX,M,333.0,205.0,219.0,278.0,319.0,10286.0,10.0
968,SC,F,536.0,261.0,296.0,278.0,307.0,8438.0,4.944444444
969,MI,F,850.0,484.0,501.0,465.0,495.0,17174.0,8.230769231
970,IL,F,443.0,268.0,347.0,320.0,380.0,12966.0,5.727272727
971,MS,M,467.0,206.0,261.0,260.0,308.0,9725.0,6.666666667
972,CA,F,1207.0,284.0,303.0,458.0,488.0,19872.0,7.25
973,NE,M,490.0,250.0,299.0,288.0,345.0,11320.0,3.269230769
974,NM,F,805.0,207.0,243.0,237.0,289.0,10226.0,8.266666667
975,LA,M,638.0,220.0,243.0,255.0,291.0,11076.0,15.66666667
976,CO,M,1208.0,571.0,594.0,616.0,660.0,20295.0,15.0
977,MO,M,198.0,208.0,252.0,261.0,297.0,9961.0,15.0
978,OR,M,443.0,204.0,218.0,232.0,267.0,9473.0,10.42857143
979,MO,F,1284.0,410.0,539.0,532.0,642.0,24921.0,13.44444444
980,MO,M,675.0,312.0,352.0,343.0,365.0,10538.0,5.785714286
981,MI,F,668.0,272.0,369.0,311.0,391.0,17206.0,6.411764706
982,FL,F,575.0,232.0,259.0,255.0,289.0,9634.0,7.666666667
983,CA,F,770.0,428.0,471.0,535.0,571.0,23387.0,20.0
984,CA,F,1091.0,330.0,348.0,382.0,397.0,14093.0,11.95238095
985,OR,M,1015.0,354.0,360.0,404.0,422.0,14056.0,10.0
986,KS,M,1413.0,634.0,665.0,357.0,755.0,14056.0,8.285714286
987,WA,M,849.0,281.0,327.0,327.0,380.0,14308.0,13.30769231
988,OR,F,871.0,309.0,344.0,362.0,390.0,15151.0,9.55
989,TX,F,571.0,300.0,333.0,336.0,366.0,10689.0,15.0
990,TX,F,375.0,182.0,207.0,208.0,232.0,8256.0,15.0
991,WA,F,466.0,211.0,252.0,244.0,289.0,10094.0,5.625
992,CA,M,1668.0,648.0,664.0,663.0,668.0,14056.0,13.38461539
993,FL,M,546.0,283.0,256.0,344.0,322.0,14056.0,10.0
994,WI,M,713.0,360.0,372.0,408.0,429.0,12547.0,11.3125
995,NM,M,576.0,263.0,355.0,357.0,338.0,12326.0,6.04
996,FL,F,585.0,459.0,393.0,445.0,427.0,8656.0,13.58333333
997,CA,F,2022.0,441.0,360.0,496.0,569.0,21300.0,4.777777778
998,AR,F,786.0,220.0,264.0,274.0,318.0,11624.0,6.222222222
999,CA,F,1406.0,431.0,536.0,453.0,556.0,21369.0,15.0
1000,GA,F,503.0,239.0,275.0,287.0,324.0,14056.0,20.0
1001,MO,F,1602.0,459.0,475.0,561.0,593.0,18855.0,18.42105263
1002,FL,M,736.0,274.0,276.0,311.0,316.0,11510.0,10.4
1003,LA,F,393.0,130.0,147.0,178.0,213.0,5559.0,4.363636364
1004,WI,F,987.0,430.0,469.0,476.0,521.0,18625.0,10.0
1005,NC,F,529.0,254.0,301.0,284.0,326.0,11595.0,2.439814815
1006,CA,M,770.0,409.0,486.0,402.0,459.0,16946.0,9.9
1007,MO,M,651.0,336.0,415.0,395.0,459.0,15058.0,3.578947368
1008,TX,F,1711.0,400.0,360.0,566.0,402.0,14056.0,16.0
1009,SC,F,473.0,300.0,319.0,333.0,373.0,11482.0,8.666666667
1010,TX,M,775.0,494.0,465.0,489.0,467.0,14903.0,10.0
1011,IN,F,505.0,273.0,330.0,316.0,356.0,10974.0,20.0
1012,WI,M,416.0,247.0,297.0,292.0,340.0,11789.0,15.0
1013,NC,F,678.0,260.0,289.0,303.0,335.0,11906.0,8.777777778
1014,CA,F,1158.0,369.0,398.0,373.0,386.0,11592.0,4.090909091
1015,TN,F,861.0,248.0,314.0,278.0,328.0,16517.0,7.0
1016,SC,F,407.0,157.0,193.0,221.0,260.0,7762.0,16.66666667
1017,IL,M,1094.0,363.0,388.0,421.0,444.0,15967.0,20.83333333
1018,IL,M,485.0,297.0,309.0,329.0,340.0,10899.0,21.25
1019,LA,M,445.0,180.0,210.0,226.0,256.0,7560.0,6.321428571
1020,NE,M,770.0,312.0,360.0,357.0,402.0,14056.0,13.58139535
1021,CA,F,1428.0,301.0,277.0,322.0,297.0,14056.0,10.0
1022,IL,F,693.0,407.0,399.0,390.0,386.0,11864.0,6.588235294
1023,IL,M,873.0,211.0,291.0,251.0,319.0,14513.0,3.173913044
1024,CA,F,770.0,478.0,497.0,504.0,542.0,17103.0,12.75
1025,TX,M,351.0,312.0,278.0,283.0,304.0,9113.0,14.0
1026,CA,F,2067.0,489.0,534.0,540.0,583.0,14056.0,10.0
1027,IL,F,999.0,411.0,453.0,465.0,496.0,15934.0,18.71428571
1028,FL,M,419.0,218.0,243.0,277.0,305.0,9540.0,8.75
1029,IL,M,962.0,327.0,479.0,361.0,465.0,14486.0,10.0
1030,NM,F,542.0,220.0,252.0,272.0,298.0,9481.0,10.0
1031,OK,M,780.0,278.0,323.0,345.0,414.0,14360.0,14.14285714
1032,OK,F,1229.0,546.0,649.0,555.0,700.0,14056.0,5.214285714
1033,TX,F,928.0,408.0,452.0,444.0,452.0,17067.0,12.83333333
1034,KY,M,335.0,137.0,205.0,166.0,195.0,6927.0,10.0
1035,IA,M,337.0,220.0,265.0,258.0,301.0,8147.0,9.714285714
1036,CA,M,1126.0,243.0,261.0,275.0,285.0,8614.0,20.8
1037,FL,M,1987.0,403.0,524.0,567.0,633.0,14056.0,14.0
1038,OR,F,1093.0,315.0,431.0,386.0,483.0,15130.0,10.0
1039,MO,M,238.0,176.0,225.0,233.0,287.0,10253.0,6.636363636
1040,TN,F,966.0,517.0,528.0,547.0,569.0,18463.0,7.714285714
1041,KY,M,377.0,234.0,252.0,276.0,285.0,9657.0,10.25
1042,NE,F,825.0,417.0,459.0,453.0,503.0,16332.0,4.0
1043,IL,M,962.0,391.0,444.0,452.0,486.0,17404.0,10.0
1044,NM,M,1082.0,482.0,566.0,522.0,609.0,22454.0,10.08333333
1045,CA,M,770.0,613.0,632.0,655.0,678.0,21179.0,13.375
1046,CA,F,770.0,484.0,522.0,537.0,581.0,17262.0,4.833333333
1047,MN,M,359.0,168.0,258.0,203.0,269.0,9568.0,11.91666667
1048,NC,F,685.0,271.0,314.0,339.0,396.0,13235.0,5.692307692
1049,NC,F,603.0,173.0,215.0,239.0,329.0,12562.0,9.857142857
1050,IL,M,682.0,322.0,359.0,297.0,336.0,8194.0,12.33333333
1051,KS,M,581.0,295.0,349.0,349.0,402.0,13925.0,17.0
1052,IL,F,380.0,229.0,277.0,299.0,351.0,11773.0,11.66666667
1053,FL,F,1229.0,469.0,502.0,507.0,544.0,14056.0,7.5
1054,SC,F,689.0,313.0,320.0,343.0,350.0,12601.0,12.0
1055,CA,M,1715.0,607.0,619.0,647.0,660.0,21473.0,10.0
1056,FL,F,762.0,254.0,355.0,327.0,411.0,17458.0,8.761904762
1057,TX,F,683.0,449.0,471.0,484.0,507.0,19552.0,6.8125
1058,WA,F,1648.0,395.0,488.0,480.0,542.0,22216.0,8.538461539
1059,FL,F,484.0,150.0,243.0,195.0,266.0,11909.0,20.0
1060,CO,M,645.0,214.0,308.0,251.0,313.0,14783.0,8.916666667
1061,MI,M,577.0,375.0,380.0,389.0,394.0,15853.0,9.571428571
1062,WA,M,1642.0,275.0,388.0,349.0,485.0,19679.0,11.83333333
1063,TX,F,1163.0,378.0,459.0,439.0,526.0,14056.0,5.4
1064,NC,F,675.0,305.0,373.0,365.0,427.0,16318.0,6.409090909
1065,MI,F,602.0,336.0,366.0,363.0,391.0,12418.0,9.0
1066,CA,F,746.0,346.0,352.0,357.0,368.0,10165.0,10.0
1067,MI,F,459.0,116.0,518.0,280.0,533.0,19070.0,10.0
1068,WA,F,922.0,232.0,298.0,298.0,361.0,13725.0,8.5
1069,FL,F,833.0,277.0,350.0,329.0,387.0,14317.0,12.25
1070,MN,M,1793.0,312.0,360.0,357.0,402.0,14056.0,14.28571429
1071,TN,F,470.0,235.0,292.0,275.0,318.0,8963.0,12.5
1072,OK,F,338.0,203.0,254.0,242.0,284.0,14056.0,5.076923077
1073,SC,M,420.0,225.0,253.0,249.0,285.0,14056.0,4.9
1074,TX,M,1576.0,388.0,418.0,528.0,579.0,24013.0,12.85714286
1075,WI,F,677.0,282.0,303.0,334.0,370.0,11541.0,8.428571429
1076,MI,F,559.0,344.0,361.0,378.0,403.0,13072.0,11.0
1077,FL,M,731.0,350.0,385.0,401.0,432.0,13977.0,15.0
1078,WA,M,1196.0,327.0,406.0,382.0,456.0,16530.0,10.46153846
1079,WI,F,718.0,410.0,443.0,425.0,462.0,14721.0,8.578947368
1080,MO,M,460.0,223.0,265.0,257.0,297.0,14056.0,11.0
1081,CA,M,770.0,485.0,541.0,488.0,402.0,17885.0,6.5
1082,CO,F,726.0,370.0,426.0,388.0,406.0,13631.0,9.2
1083,CA,M,1327.0,397.0,409.0,435.0,442.0,15850.0,11.33333333
1084,FL,M,956.0,348.0,344.0,412.0,417.0,14056.0,11.44444444
1085,FL,M,565.0,154.0,163.0,180.0,193.0,6724.0,6.909090909
1086,OR,M,987.0,361.0,440.0,400.0,402.0,18610.0,12.11111111
1087,MN,F,1138.0,545.0,613.0,602.0,672.0,23589.0,9.68
1088,FL,F,535.0,226.0,236.0,250.0,265.0,9934.0,4.285714286
1089,IL,F,427.0,71.0,141.0,121.0,253.0,6671.0,10.0
1090,WA,F,1413.0,306.0,329.0,397.0,435.0,18792.0,6.666666667
1091,WA,F,1180.0,333.0,385.0,414.0,464.0,20815.0,12.9
1092,AR,M,318.0,53.0,105.0,113.0,152.0,3748.0,17.45454546
1093,MI,F,554.0,414.0,424.0,432.0,445.0,15267.0,7.866666667
1094,TX,F,1900.0,404.0,582.0,498.0,664.0,14056.0,5.2
1095,AR,M,866.0,387.0,453.0,428.0,491.0,24381.0,10.0
1096,TX,F,1223.0,313.0,419.0,444.0,538.0,17822.0,9.0
1097,CA,F,770.0,374.0,404.0,445.0,484.0,14229.0,10.6
1098,MO,F,770.0,439.0,591.0,542.0,686.0,14056.0,10.0
1099,WA,F,1183.0,217.0,528.0,379.0,628.0,24703.0,10.0
1100,TX,M,655.0,318.0,315.0,328.0,324.0,8044.0,8.75
1101,NC,F,399.0,211.0,259.0,249.0,295.0,9617.0,6.2
1102,MN,M,418.0,190.0,290.0,244.0,403.0,13707.0,10.71428571
1103,IL,M,595.0,385.0,394.0,406.0,419.0,12802.0,8.875
1104,SC,F,548.0,289.0,327.0,340.0,388.0,11933.0,11.66666667
1105,TX,F,1125.0,227.0,287.0,246.0,279.0,15743.0,10.25
1106,NE,F,503.0,261.0,267.0,290.0,308.0,9917.0,8.863636364
1107,AR,F,545.0,257.0,265.0,301.0,301.0,14056.0,17.625
1108,AL,F,455.0,257.0,350.0,321.0,389.0,13452.0,12.0
1109,GA,M,1201.0,317.0,408.0,426.0,507.0,19960.0,7.818181818
1110,TX,M,592.0,188.0,406.0,240.0,359.0,14406.0,16.27272727
1111,WI,F,614.0,340.0,388.0,377.0,428.0,14439.0,7.636363636
1112,IL,M,302.0,208.0,216.0,207.0,203.0,5668.0,11.25
1113,CA,F,770.0,456.0,516.0,531.0,589.0,21372.0,6.333333333
1114,FL,M,440.0,164.0,186.0,220.0,254.0,8444.0,9.666666667
1115,MN,F,569.0,276.0,315.0,317.0,350.0,12795.0,9.727272727
1116,TN,M,690.0,194.0,371.0,263.0,411.0,13120.0,5.0
1117,IL,F,438.0,159.0,146.0,165.0,156.0,14056.0,20.66666667
1118,CA,F,770.0,415.0,402.0,457.0,445.0,16471.0,8.095238095
1119,MS,M,394.0,188.0,220.0,227.0,402.0,14056.0,10.0
1120,KY,F,630.0,300.0,327.0,321.0,361.0,13719.0,9.2
1121,FL,F,1171.0,483.0,512.0,544.0,570.0,19553.0,5.2
1122,TN,M,1103.0,467.0,503.0,497.0,524.0,17130.0,10.0
1123,WI,M,673.0,293.0,335.0,296.0,348.0,12900.0,11.5
1124,CA,F,1633.0,286.0,318.0,306.0,351.0,16765.0,5.8
1125,KY,M,428.0,166.0,304.0,240.0,334.0,13608.0,9.1875
1126,TX,F,262.0,150.0,194.0,186.0,228.0,8475.0,15.0
1127,MI,F,905.0,470.0,533.0,549.0,605.0,21564.0,7.25
1128,CA,F,1693.0,423.0,467.0,457.0,492.0,17493.0,11.66666667
1129,FL,F,1806.0,243.0,312.0,338.0,450.0,22969.0,2.795454546
1130,MI,M,630.0,355.0,396.0,395.0,437.0,15914.0,13.0
1131,AR,F,389.0,207.0,234.0,253.0,286.0,14056.0,12.66666667
1132,AR,M,417.0,312.0,199.0,357.0,282.0,6858.0,13.0
1133,WA,M,731.0,304.0,355.0,349.0,382.0,14056.0,6.578947368
1134,NV,F,1569.0,312.0,672.0,357.0,402.0,25775.0,12.5
1135,AR,F,335.0,166.0,207.0,207.0,239.0,8297.0,4.606060606
1136,FL,M,1357.0,521.0,534.0,571.0,587.0,20642.0,13.0
1137,WA,M,883.0,294.0,315.0,355.0,363.0,13642.0,14.25
1138,WA,M,982.0,318.0,388.0,341.0,384.0,12744.0,20.0
1139,MI,M,663.0,432.0,501.0,483.0,534.0,16668.0,10.0
1140,NC,M,827.0,240.0,275.0,297.0,319.0,12413.0,6.3125
1141,MI,F,266.0,146.0,167.0,217.0,211.0,14056.0,8.09375
1142,CA,M,1967.0,371.0,409.0,403.0,436.0,24029.0,10.5
1143,OR,F,470.0,305.0,339.0,318.0,355.0,11035.0,5.625
1144,MI,M,626.0,356.0,388.0,392.0,440.0,16309.0,9.8
1145,WA,M,1521.0,412.0,422.0,497.0,543.0,19703.0,8.571428571
1146,OR,F,584.0,282.0,314.0,318.0,347.0,13789.0,10.4
1147,NC,F,588.0,257.0,288.0,285.0,318.0,10225.0,19.0
1148,IL,F,1063.0,294.0,360.0,354.0,434.0,18383.0,20.0
1149,IL,F,588.0,272.0,345.0,331.0,387.0,13570.0,13.33333333
1150,FL,F,663.0,293.0,315.0,305.0,340.0,12675.0,11.66666667
1151,AR,F,582.0,312.0,308.0,323.0,340.0,10930.0,4.272727273
1152,NC,F,1497.0,581.0,678.0,667.0,762.0,14056.0,6.928571429
1153,IL,F,281.0,280.0,314.0,274.0,342.0,10874.0,10.0
1154,MI,M,784.0,289.0,378.0,332.0,400.0,12840.0,11.0
1155,FL,M,645.0,226.0,249.0,257.0,284.0,14056.0,5.285714286
1156,IN,M,544.0,330.0,403.0,360.0,433.0,14398.0,5.133333333
1157,MN,F,896.0,291.0,335.0,340.0,438.0,17357.0,8.6
1158,NV,M,398.0,248.0,303.0,292.0,337.0,11618.0,8.45
1159,TX,F,900.0,273.0,337.0,336.0,455.0,19298.0,13.6
1160,IL,M,1421.0,435.0,604.0,534.0,662.0,18555.0,5.714285714
1161,GA,F,405.0,166.0,208.0,215.0,254.0,7997.0,6.666666667
1162,KY,M,297.0,312.0,178.0,185.0,187.0,5972.0,21.0
1163,KS,F,317.0,231.0,249.0,241.0,249.0,17155.0,4.885769231
1164,CA,F,770.0,351.0,376.0,394.0,419.0,16480.0,12.5
1165,CO,M,1848.0,643.0,688.0,357.0,765.0,14056.0,8.35
1166,AL,M,710.0,402.0,429.0,433.0,457.0,14119.0,10.71428571
1167,TX,M,846.0,538.0,541.0,595.0,602.0,18861.0,5.181818182
1168,AL,M,770.0,312.0,360.0,357.0,402.0,14056.0,15.0
1169,OK,M,393.0,195.0,212.0,222.0,221.0,10232.0,15.55555556
1170,TX,M,600.0,420.0,461.0,467.0,479.0,17725.0,8.727272727
1171,OR,F,605.0,223.0,326.0,283.0,323.0,12224.0,12.25
1172,FL,F,711.0,267.0,305.0,307.0,363.0,15229.0,3.857142857
1173,CA,F,1072.0,284.0,306.0,378.0,427.0,14572.0,17.85714286
1174,MI,F,782.0,462.0,475.0,498.0,504.0,15816.0,20.18181818
1175,IL,M,464.0,225.0,291.0,277.0,364.0,12445.0,10.0
1176,CA,M,1803.0,281.0,418.0,364.0,492.0,24681.0,13.71428571
1177,TX,F,1329.0,312.0,360.0,689.0,743.0,21941.0,6.2
1178,AL,F,408.0,215.0,253.0,259.0,286.0,9667.0,8.444444444
1179,CA,F,1537.0,495.0,509.0,528.0,544.0,17689.0,13.0
1180,AL,F,488.0,300.0,314.0,282.0,311.0,10516.0,10.0
1181,SC,M,799.0,429.0,445.0,421.0,467.0,15469.0,9.125
1182,CA,F,1722.0,312.0,406.0,365.0,408.0,15603.0,6.071428571
1183,MO,F,365.0,215.0,249.0,269.0,296.0,9330.0,13.33333333
1184,FL,M,518.0,184.0,213.0,228.0,264.0,11126.0,9.333333333
1185,CA,F,770.0,475.0,508.0,516.0,543.0,14056.0,3.491935484
1186,CA,F,770.0,313.0,366.0,357.0,474.0,23850.0,10.0
1187,MI,M,237.0,255.0,250.0,274.0,274.0,12378.0,12.84615385
1188,SC,F,545.0,302.0,316.0,324.0,338.0,12022.0,15.0
1189,SC,M,482.0,239.0,282.0,287.0,335.0,11149.0,5.071428571
1190,WA,F,506.0,274.0,320.0,310.0,356.0,14056.0,10.0
1191,NC,M,621.0,267.0,328.0,300.0,352.0,11523.0,10.5875
1192,TX,M,564.0,199.0,207.0,274.0,288.0,10369.0,8.730769231
1193,FL,F,398.0,193.0,207.0,195.0,210.0,6768.0,8.769230769
1194,MI,M,667.0,333.0,380.0,345.0,395.0,12506.0,6.722222222
1195,TX,M,948.0,545.0,604.0,655.0,684.0,14056.0,5.0
1196,OR,F,953.0,319.0,379.0,387.0,455.0,15729.0,10.0
1197,NC,F,1070.0,384.0,420.0,435.0,476.0,17806.0,6.533333333
1198,CA,M,1029.0,415.0,401.0,408.0,413.0,17789.0,10.0
1199,CA,M,1325.0,381.0,458.0,403.0,464.0,19380.0,16.35294118
1200,MO,F,806.0,357.0,393.0,386.0,441.0,14056.0,4.0
1201,TX,F,339.0,158.0,161.0,212.0,207.0,5445.0,8.25
1202,WI,M,1040.0,492.0,505.0,357.0,569.0,18196.0,10.0
1203,NC,M,487.0,273.0,308.0,275.0,314.0,13272.0,5.0
1204,WI,M,498.0,278.0,348.0,357.0,390.0,13894.0,8.333333333
1205,CA,F,942.0,204.0,254.0,306.0,304.0,10323.0,5.611111111
1206,GA,F,1156.0,420.0,617.0,541.0,655.0,22639.0,10.0
1207,WA,F,904.0,296.0,372.0,330.0,407.0,17248.0,13.6
1208,IA,M,324.0,146.0,192.0,186.0,202.0,8170.0,12.5
1209,CA,M,1771.0,312.0,335.0,322.0,341.0,17567.0,11.1875
1210,NC,M,1203.0,462.0,473.0,497.0,543.0,17989.0,15.0
1211,MN,M,737.0,506.0,504.0,472.0,469.0,13295.0,8.454545455
1212,NC,M,504.0,191.0,228.0,246.0,287.0,9564.0,5.0
1213,CA,M,931.0,307.0,318.0,332.0,343.0,12060.0,5.090909091
1214,OR,F,819.0,259.0,275.0,331.0,367.0,13539.0,7.538461539
1215,TX,F,1490.0,612.0,645.0,357.0,402.0,14056.0,18.47826087
1216,CA,F,770.0,412.0,424.0,512.0,516.0,13961.0,5.555555556
1217,CA,F,1364.0,244.0,255.0,296.0,308.0,6939.0,18.75
1218,LA,F,456.0,238.0,263.0,281.0,317.0,10293.0,11.0
