CONTROLN	STATE	GENDER	HV1	IC1	IC4	HVP1	IC5	POBC1	POBC2	IC2	IC3	AVGGIFT	TCODE	DOB	DOMAIN	TARGET_D
167517	CA	F	2324	374	484	64	14229	13	64	404	445	10.6	0	0	R1	25
14386	MO	F	2528	439	686	53	32768	4	44	591	542	24.77777778	2	1101	S1	10
184011	WA	F	1183	217	628	26	24703	0	52	528	379	37.5	28	1502	C1	25
121967	TX	M	655	318	324	0	8044	40	41	315	328	8.75	1	3801	S2	15
20194	NC	female	399	211	295	0	9617	0	79	259	249	6.2	28	3601	T3	10
84967	MN	M	418	190	403	0	13707	0	88	290	244	10.71428571	0	4805	T2	15
93684	IL	M	595	385	419	0	12802	2	63	394	406	8.875	1	4202	U2	11
92802	IL	M	0	0	0	0	0	0	0	0	0	11.33333333	1	4210	U1	10
24900	SC	F	548	289	388	2	11933	0	72	327	340	11.66666667	0	5201	T2	25
121926	TX	F	1125	227	279	0	15743	2	55	287	246	10.25	28	0	S1	20
12003	CA	F	3626	749	838	96	30685	9	45	785	795	12.3125	28	2901	U2	20
7852	NE	F	503	261	308	0	9917	0	61	267	290	8.863636364	2	0	T2	10
111137	AR	Female	545	257	301	1	10669	0	59	265	301	17.625	0	0	C2	21
47688	AL	F	455	257	389	1	13452	0	84	350	321	12	0	0	R2	10
25576	GA	M	1201	317	507	3	19960	3	52	408	426	7.818181818	0	1401	S1	21
127392	TX	M	592	188	359	0	14406	0	53	406	240	16.27272727	1	4108	C1	23
77495	WI	F	614	340	428	1	14439	1	88	388	377	7.636363636	0	0	T2	10
87210	MT	female	423	256	344	0	10311	2	75	296	295	11	0	0	R2	20
93218	IL	M	302	208	203	0	5668	11	67	216	207	11.25	72	0	U4	10
184974	AK	F	1157	365	559	8	21892	8	33	514	448	7.714285714	0	2601	T2	10
136768	CA	F	2312	456	589	63	21372	7	44	516	531	6.333333333	0	5301	S1	2
42724	FL	M	440	164	254	0	8444	3	41	186	220	9.666666667	1	3601	C3	25
82313	MN	F	569	276	350	1	12795	1	84	315	317	9.727272727	0	2705	T2	15
132820	WY	F	680	353	457	1	14347	3	39	393	406	9.058823529	0	5201	R1	15
51683	TN	M	690	194	411	1	13120	5	57	371	263	5	1002	0	C2	5
93538	IL	F	438	159	156	17	3975	0	58	146	165	20.66666667	0	2503	U4	36
145407	CA	F	2166	415	445	68	16471	8	52	402	457	8.095238095	0	0	S2	10
55553	MS	M	394	188	252	0	8350	0	89	220	227	25	1	0	R2	20
58447	KY	F	630	300	361	0	13719	8	55	327	321	9.2	0	3001	T2	10
159424	CA	M	3276	358	555	92	23535	15	40	478	436	25	1	2401	S1	75
34649	FL	F	1171	483	570	9	19553	5	20	512	544	5.2	0	2901	S1	7
50154	TN	M	1103	467	524	3	17130	2	74	503	497	15	1002	6801	T1	15
77432	WI	male	673	293	348	0	12900	2	88	335	296	11.5	2	5401	T2	15
152821	CA	F	1633	286	351	8	16765	9	13	318	306	5.8	0	5401	S2	11
57964	KY	M	428	166	334	4	13608	1	71	304	240	9.1875	1	2601	C3	12
188385	TX	F	262	150	228	0	8475	0	67	194	186	15	2	1601	T3	5
65899	MI	F	905	470	605	0	21564	11	70	533	549	7.25	28	4301	S2	10
171302	CA	F	1693	423	492	23	17493	6	58	467	457	11.66666667	0	4701	S1	15
38106	FL	F	1806	243	450	33	22969	38	5	312	338	2.795454546	0	804	U2	3
35906	FL	F	683	284	368	2	12396	4	32	325	313	15.33333333	0	5701	T2	15
4513	MI	M	630	355	437	0	15914	3	75	396	395	13	1	2804	C2	20
14272	AR	Female	389	207	286	0	9933	1	69	234	253	12.66666667	0	4001	R2	20
1779	AR	M	417	131	282	0	6858	6	42	199	200	13	0	0	T3	12.5
180512	WA	male	731	304	382	1	13513	4	53	355	349	6.578947368	2	1312	T2	10
41065	NV	F	1569	673	781	22	25775	3	44	672	785	12.5	0	3401	C3	15
111949	AR	Female	335	166	239	0	8297	0	76	207	207	4.606060606	0	0	R3	5
35043	FL	M	1357	521	587	26	20642	4	30	534	571	13	1	4304	C1	16
86311	SD	U	530	309	375	0	11438	1	80	375	276	5.5	0	0	R2	6
182293	WA	male	883	294	363	6	13642	2	66	315	355	14.25	1	0	C2	19
179023	WA	male	982	318	384	0	12744	5	61	388	341	20	1	0	S2	35
65481	MI	M	663	432	534	0	16668	5	64	501	483	15	1	4401	U2	20
21144	NC	M	827	240	319	8	12413	1	60	275	297	6.3125	2	0	R2	6
9390	MI	F	266	146	211	0	7863	16	72	167	217	8.09375	3	4009	U4	5
157973	CA	M	1967	371	436	45	24029	8	15	409	403	10.5	1	2001	C1	12
176890	OR	F	470	305	355	1	11035	6	45	339	318	5.625	0	3001	T2	8
65181	MI	M	626	356	440	2	16309	2	83	388	392	9.8	2	3603	C2	11
181083	WA	male	1521	412	543	33	19703	3	64	422	497	8.571428571	1	5001	T2	5
175951	OR	F	584	282	347	0	13789	7	51	314	318	10.4	2	4501	S2	15
20966	NC	female	588	257	318	0	10225	2	56	288	285	19	28	4801	T2	20
91779	IL	F	1063	294	434	0	18383	5	79	360	354	20	0	6001	C2	20
98099	IL	F	588	272	387	2	13570	1	85	345	331	13.33333333	0	6601	R2	21
32485	FL	F	663	293	340	3	12675	3	24	315	305	11.66666667	0	3601	T2	37
111284	AR	Female	582	292	340	0	10930	1	61	308	323	4.272727273	2	3801	T2	5
15651	NC	female	1497	581	762	21	30594	1	76	678	667	6.928571429	0	5501	C1	10
96220	IL	F	281	280	342	0	10874	0	83	314	274	7.714285714	0	3503	R2	14
73221	MI	M	784	289	400	2	12840	5	67	378	332	11	2	0	C2	10
170143	CA	F	1722	404	433	39	13454	13	59	420	411	4.571428571	2	905	T2	5
43884	FL	M	645	226	284	1	13007	6	7	249	257	5.285714286	1	3202	C3	5
61338	IN	M	544	330	433	0	14398	5	68	403	360	5.133333333	1	5701	S2	5
82636	MN	F	896	291	438	6	17357	2	70	335	340	8.6	0	4101	C1	15
190730	NV	M	398	248	337	0	11618	3	39	303	292	8.45	2	1407	0	14
121071	TX	F	900	273	455	3	19298	15	43	337	336	13.6	28	4912	U1	15
94386	IL	M	1421	435	662	24	18555	6	81	604	534	5.714285714	1	3301	U1	6
31094	GA	F	405	166	254	0	7997	1	81	208	215	6.666666667	0	2801	R3	5
58463	KY	M	297	176	187	0	5972	0	72	178	185	21	2	1605	R3	10
160716	KS	F	317	231	249	0	17155	3	64	249	241	4.885769231	28	0	C2	7
156414	CA	F	2184	351	419	67	16480	25	38	376	394	12.5	0	1601	U1	20
137592	Arizona	M	0	0	0	0	0	0	0	0	0	17.5	1	1201	C3	25
130840	CO	M	1848	643	765	40	27612	3	24	688	705	8.35	0	1805	T1	20
133176	ID		2111	320	550	53	28034	4	26	408	444	16.5	2	3601	R1	50
164044	CA	M	5795	1329	1204	99	57002	17	36	1326	1201	11.66666667	0	4201	T1	15
190746	AL	Male	710	402	457	0	14119	3	50	429	433	10.71428571	1	3701	T1	11
52116	NC	female	680	236	318	2	11568	3	60	279	277	9.269230769	0	1703	T2	10
42913	FL	M	950	357	469	3	18756	5	16	449	420	7.2	0	4601	C2	5
124143	TX	M	846	538	602	0	18861	1	73	541	595	5.181818182	72	3803	C1	6
47385	AL	Male	2432	1273	1105	64	55765	0	62	1332	1057	15	1	6001	S1	15
92312	IL	F	3573	1245	1179	98	83519	15	70	1474	1065	10.33333333	28	3202	S1	24
114208	OK	M	393	195	221	0	10232	1	65	212	222	15.55555556	0	3401	T3	50
127744	TX	M	600	420	479	0	17725	0	77	461	467	8.727272727	0	2104	T1	15
86696	ND	F	469	293	398	0	13446	0	79	354	331	19.28571429	0	2307	T1	25
177131	OR	F	605	223	323	0	12224	3	47	326	283	12.25	28	2101	C2	10
42689	FL	F	711	267	363	0	15229	12	7	305	307	3.857142857	2	0	C2	4
7879	CA	F	1072	284	427	6	14572	14	63	306	378	17.85714286	2	3011	C2	25
13089	MI	F	782	462	504	1	15816	0	89	475	498	20.18181818	0	6112	T2	34
98085	IL	M	464	225	364	0	12445	0	84	291	277	10.2	1	0	R2	10
5614	CA	M	1803	281	492	20	24681	13	13	418	364	13.71428571	1	1908	C2	19
122198	TX	F	1329	685	743	1	21941	13	38	727	689	6.2	2	5601	C1	6
131537	AL	F	408	215	286	1	9667	0	87	253	259	8.444444444	0	0	C2	7
171609	CA	F	1537	495	544	19	17689	13	58	509	528	13	0	4201	S1	20
47914	AL	F	488	300	311	0	10516	0	82	314	282	4.714285714	30	1901	T2	5
25226	SC	M	799	429	467	0	15469	0	70	445	421	9.125	1	2703	T2	12.5
158567	CA		1722	324	408	13	15603	10	62	406	365	6.071428571	0	1110	S1	6
103535	MO	F	365	215	296	0	9330	0	70	249	269	13.33333333	2	3801	R3	15
13394	IL	F	1204	444	557	5	18966	7	72	514	491	7.4	0	3001	S1	15
45870	FL	M	518	184	264	0	11126	7	12	213	228	9.333333333	1	3001	C3	20
169703	CA	F	2486	475	543	73	26926	7	71	508	516	3.491935484	0	1501	C2	25
147484	CA	M	5439	984	1004	98	42403	18	45	1029	961	12.22222222	0	1601	S1	12
151907	CA	F	3477	424	629	90	27103	14	37	601	528	5.4	0	5901	C1	6
152283	CA	F	2813	313	474	81	23850	10	12	366	388	10	0	3604	C2	10
146742	CA	M	3909	870	901	98	34835	16	45	886	878	11.28571429	1	3001	S1	15
68240	MI	M	237	255	274	0	12378	3	58	250	274	12.84615385	0	3001	U4	25
24975	SC	F	545	302	338	1	12022	0	80	316	324	15	0	4401	R2	20
25027	SC	M	482	239	335	1	11149	0	81	282	287	5.071428571	0	5502	R2	5
184269	WA		506	274	356	0	12932	11	37	320	310	10	0	1406	C2	10
187915	NJ	F	1344	436	472	7	14568	4	75	468	439	3.931538461	0	0	T2	20
16972	NC	M	621	267	352	0	11523	1	81	328	300	10.5875	1	5801	R2	12
126469	TX	M	564	199	288	1	10369	7	73	207	274	8.730769231	0	1808	C1	15
42548	FL	F	398	193	210	0	6768	8	42	207	195	8.769230769	0	2401	T3	11
72416	MI	M	667	333	395	0	12506	4	68	380	345	6.722222222	1002	1606	R2	5
118163	TX	M	948	545	684	1	20038	8	54	604	655	5	2	0	R2	5
174833	OR	F	953	319	455	1	15729	3	45	379	387	13.2	2	2002	S2	20
19623	NC	female	1070	384	476	24	17806	1	67	420	435	6.533333333	0	6201	T1	14
159506	CA	M	1029	415	413	5	17789	2	64	401	408	5.133333333	1	0	R2	10
153743	CA	M	1325	381	464	4	19380	18	38	458	403	16.35294118	0	5901	S1	26
100447	MO	F	806	357	441	0	14575	4	81	393	386	4	0	5401	S2	3
126403	TX	F	339	158	207	0	5445	27	58	161	212	8.25	2	2403	C3	10
77695	WI	male	1040	492	569	5	18196	2	79	505	549	15	1	5801	T1	20
18266	NC	M	487	273	314	0	13272	1	76	308	275	5	0	2505	C3	5
80893	WI	male	498	278	390	0	13894	0	87	348	357	8.333333333	1	1507	T2	25
169553	CA	F	942	204	304	6	10323	14	58	254	306	5.611111111	28	5901	R2	10
30450	GA	F	1156	420	655	5	22639	1	56	617	541	31	2	2407	C2	50
98220	IL	M	331	195	314	0	11368	0	72	288	255	7.5	0	3601	R3	10
134833	UT	M	498	139	299	0	7461	8	70	229	246	5.5	1	3901	R2	6
179014	WA	F	904	296	407	2	17248	3	46	372	330	13.6	2	1001	T1	23
77023	IA	M	324	146	202	0	8170	11	47	192	186	12.5	1	4301	C3	15
10028	CA	M	1771	314	341	13	17567	9	45	335	322	11.1875	1	0	C2	20
20522	NC	M	1203	462	543	10	17989	1	51	473	497	15	1	5001	T1	15
82065	MN	M	737	506	469	0	13295	0	83	504	472	8.454545455	0	3601	T2	10
20769	NC	M	504	191	287	1	9564	0	81	228	246	5	2	4601	T2	5
160970	CA	M	931	307	343	2	12060	8	50	318	332	5.090909091	1	2111	T1	5
174609	OR	F	819	259	367	2	13539	1	41	275	331	7.538461539	0	0	T2	10
127166	TX	J	1490	612	818	25	38526	7	56	645	733	18.47826087	1002	2512	S1	30
155967	CA	F	2521	412	516	63	13961	38	45	424	512	5.555555556	0	2001	C2	5
14790	CA	M	4068	753	872	99	31920	20	37	821	748	6.4	1	2104	U1	15
20583	NC	female	810	441	503	1	17642	2	56	457	489	8.133333333	28	2801	C1	14
185934	CA	F	1364	244	308	15	6939	50	43	255	296	18.75	2	0	U4	25
109449	LA	F	456	238	317	0	10293	1	67	263	281	11	2	2211	T2	12
64115	IN	M	501	359	445	0	16856	0	65	407	385	7.5	1	2506	C2	15
154202	CA	F	810	180	264	2	12413	15	32	214	217	12.83333333	0	0	T2	50
153001	CA	M	1960	265	469	46	17243	10	33	321	362	6.3	1	5203	S2	5
154216	CA	F	770	213	313	3	11794	10	45	264	276	4.714285714	2	1301	T2	13
174976	OR	F	619	244	324	1	13392	1	53	271	300	12.25	0	5901	R2	15
140547	NM	M	544	259	341	1	11638	2	44	305	322	20	0	0	R2	20
169371	CA	F	1436	308	372	16	11970	7	66	347	338	25	0	1601	T2	20
167100	CA	M	3223	487	597	89	22177	9	59	516	568	6.444444444	0	1704	S1	10
157295	CA	U	5500	365	614	99	31227	8	50	424	456	11.53846154	2	1501	S1	35
19020	NC	female	1588	450	511	35	18048	0	61	471	478	16.2	2	2801	T1	19
105325	KS	F	227	202	251	0	8250	0	72	241	220	2.445945946	28	0	T2	6
30117	GA	M	679	350	402	0	11290	0	87	374	377	13	1	7101	T2	16
121798	TX	M	612	508	547	0	23219	18	51	510	551	12.33333333	1	3601	U1	15
86322	SD	F	213	222	329	1	12227	1	57	273	283	5.125	0	6701	T2	5
56886	KY	M	1111	506	636	2	21181	4	52	591	552	6.636363636	1	2601	S1	12
177613	OR	M	803	222	326	4	11846	3	36	240	311	19.23076923	0	0	R2	20
43492	FL	F	665	240	312	2	11939	1	26	264	273	7	0	0	S2	12
931	OR	M	646	239	328	1	10757	6	58	249	305	5.1	1002	4711	R2	12
19510	NC	M	2441	579	866	67	46160	2	54	740	697	11	0	2001	C1	12.5
38165	CA	F	1985	414	490	48	17181	12	38	446	467	10.36363636	1002	4607	U2	14
171879	CA	F	1016	235	303	1	12496	6	66	246	278	20	0	0	U3	20
135248	Arizona	M	596	308	361	0	11474	2	42	316	345	11.81818182	1	1612	U2	20
187171	Arizona	M	851	299	387	0	19138	9	10	363	330	15	1	0	C2	15
77915	WI	male	477	278	375	0	11950	7	66	321	303	8.571428571	0	2212	S3	15
64419	IN	M	725	305	360	1	13264	2	77	309	349	10.22222222	1	0	R2	14
51185	TN	M	457	186	292	0	10259	0	78	242	237	9.333333333	1	0	R2	10
79116	WI	F	377	311	375	0	10276	4	49	363	320	5	0	3601	C2	10
68951	MI	M	1223	575	704	8	27751	4	68	644	638	25	1	7107	S1	25
50570	TN	M	308	182	269	0	9150	0	76	220	231	10	1	0	R3	10
90775	IL	M	1097	312	473	3	16896	10	79	463	371	10.71428571	1	5103	S2	17
186375	OR	M	1060	340	500	11	19213	5	32	425	422	15	0	0	C1	10
90765	IL	F	870	356	420	0	17028	20	64	405	361	26.66666667	3	0	U2	20
76128	IA	M	543	271	387	0	12961	2	83	349	339	4.964285714	0	3201	R2	5
28082	GA		1063	477	558	7	18253	2	65	529	526	15	0	0	T2	20
47869	AL	F	402	186	287	0	10573	1	71	240	230	37.2	2	2401	C3	20
176740	OR	M	770	228	318	3	12603	3	47	282	272	20	1	0	C1	30
48487	AL	F	364	170	277	0	8962	0	92	231	221	10	0	4601	R3	25
2490	SC	M	620	323	373	0	11492	2	69	358	348	3.35516129	0	2901	T2	3
41312	FL	F	577	157	373	0	10497	8	45	324	224	11.09090909	2	2912	U3	23
17094	NC	female	897	454	479	0	15887	1	60	473	444	13	0	4001	T1	15
56787	KY	M	651	321	359	0	15114	7	76	345	361	9.666666667	1	6508	S2	13
164167	CA	F	2292	642	710	70	22186	13	52	670	680	6.4	0	5301	S1	13
41785	FL	F	972	316	462	12	20831	19	10	367	388	11.2	0	2811	C1	17
126959	TX	M	1035	273	471	10	14432	3	73	386	356	11.42857143	1	5601	R1	15
29526	GA	F	431	258	319	0	9791	0	81	283	289	7.25	28	4001	R3	10
142901	CA	F	4947	586	748	99	33685	19	38	608	682	10	2	2101	U1	10
105827	KS	F	351	213	356	0	9679	2	62	245	225	12.89473684	0	5001	C3	20
159439	CA	M	439	203	228	0	5774	26	57	203	230	5.636363636	1	0	R3	5
11459	CA	M	1967	371	482	49	15962	6	53	418	438	5.261851852	1	0	T2	7
129268	CO	F	952	394	457	1	15275	1	47	407	436	6.142857143	2	3109	S1	10
122256	TX	F	637	404	457	0	13216	35	37	407	446	4.714285714	0	5401	U1	20
92355	IL	M	1413	414	539	6	30680	8	68	482	489	8	1	2601	C1	25
59811	IN	F	360	206	307	0	9936	1	76	266	252	15.28571429	0	0	T3	5
173497	HI	F	3676	683	722	91	23977	6	68	692	724	20	2	2801	S1	5
177017	OR	M	719	224	321	6	12226	3	42	269	280	7.6	1	0	R2	15
15350	NC	female	1071	357	575	18	23527	5	55	494	490	17.5	28	2701	C1	15
4629	CO	M	1460	551	668	12	21916	3	36	565	641	7.102941177	1	2302	C1	15
162598	CA	F	2766	362	439	84	17063	24	53	433	398	13	2	2001	S1	20
178949	WA	male	3442	658	793	77	28222	10	46	671	749	10	1	3901	S1	15
189880	MN	F	528	204	335	0	11183	2	69	271	243	8.333333333	2	1801	T2	10
132031	NM	M	1345	609	678	3	29493	3	18	635	629	11	1	2301	R2	23
38111	FL	M	747	380	376	0	17585	29	25	385	398	4.722222222	1	1311	C1	7
21375	NC	female	498	243	326	1	11462	0	86	284	285	20	0	5401	T2	25
31735	FL	F	881	355	496	5	17641	3	27	464	388	11	28	0	T1	19
132456	CO	F	957	319	400	9	13186	3	49	360	365	5	2	2201	R1	7
121165	TX	M	920	160	633	8	20828	12	43	753	348	15	1	6601	U1	10
175226	OR	M	693	213	259	2	10095	0	61	248	232	7.25	1	1809	R2	11
190534	CA	F	1922	284	332	44	9661	35	45	307	300	5.545454545	0	501	U3	6
33383	FL	F	1473	611	688	17	26812	10	28	647	649	7.333333333	28	0	T1	11
64261	IN	F	369	251	346	0	11275	1	88	305	295	5.625	2	0	T2	10
106854	CO	F	1070	505	518	0	16105	1	34	510	529	7.583333333	2	0	T1	8
115676	TX		340	191	237	0	7393	1	57	221	208	14.22222222	4	0	T2	20
60195	IN	F	684	272	357	1	14675	2	74	321	298	13.5	0	5501	S1	25
6308	SC	M	454	244	320	0	10904	1	85	285	280	10.77777778	0	1803	R2	12
93883	IL	M	574	289	363	0	11250	25	69	318	315	3.555555556	0	4601	U3	4
38812	FL	F	3772	515	791	87	46740	17	16	661	647	14.33333333	2	2310	U1	17
15219	NC	female	730	309	419	1	14673	1	75	374	365	25	0	0	T2	25
76442	IA	M	588	332	405	0	11164	1	67	380	354	4	1	3801	R2	5
175659	OR	F	1465	514	720	25	27151	9	33	638	589	7.818181818	2	1504	S1	10
21859	NC	female	824	285	356	3	13339	2	59	305	333	9.909090909	0	3901	R2	10
32892	FL	M	852	443	497	1	16681	2	41	446	480	10.19047619	0	5010	S1	10
65740	MI	F	777	444	511	0	16822	6	81	485	476	9.3	0	6901	S2	12
117264	TX	F	532	237	396	0	11962	5	65	404	297	12	2	5208	U3	17
156344	CA	M	2917	625	709	93	23064	13	53	613	712	10.09090909	1	0	S1	10
152816	CA	F	1990	301	395	49	14403	12	53	326	389	15	2	3201	S2	35
133042	ID	M	427	231	341	0	10388	6	71	290	290	27.5	1	1301	R3	40
9063	Arizona	M	844	293	390	0	19809	7	1	336	333	9.866666667	1	1601	0	10
127527	TX	M	822	228	385	2	11594	9	72	322	321	10.75	1002	6002	R1	12
24940	SC	F	761	396	464	2	15429	2	62	422	425	6.466666667	0	0	T1	15
40520	FL	F	965	356	495	7	19633	8	24	453	426	9.538461539	0	1012	S1	10
101263	MO	F	150	162	239	0	8299	1	85	197	198	6.333333333	28	1601	R3	10
130185	CO	F	607	239	279	0	10199	5	57	260	256	3.6	2	1601	U3	3
84599	MN	F	760	469	544	0	17948	0	66	505	492	7.8	28	5801	C2	11
95208	IL	F	445	234	306	0	10475	1	84	253	270	8.9	0	2312	R2	10
129822	CO	F	1331	503	635	13	22045	7	26	579	561	12.2	28	4701	S1	20
97026	IL	F	598	371	487	0	16242	2	73	453	419	11.5	0	4701	C1	10
165378	CA	F	3997	896	945	97	41664	16	49	915	919	10.625	0	6006	S1	23
160196	CA	F	3461	404	514	90	17618	3	67	423	479	6.153846154	0	5101	T1	10
57052	KY	U	683	267	362	2	11879	1	84	309	325	16.57142857	0	4701	R2	29
144577	CA	M	5739	634	810	97	45680	8	45	670	792	9.285714286	1	1603	U1	15
103591	MO	M	150	202	258	0	8084	1	90	251	223	6.1	39002	0	R2	3
111708	AR	Female	502	247	336	0	11053	2	75	298	292	9	0	0	S1	15
89030	IL	F	539	268	384	0	10905	15	45	303	377	5.625	0	2501	U3	11
169678	CA	F	1856	504	536	33	17132	6	63	523	516	13	0	2401	S1	20
95831	IL	M	301	238	347	0	12366	0	80	354	267	10.5	1	2701	R2	10
48047	AL	F	1075	511	590	6	20216	4	41	556	552	5.8	0	0	T1	6
156378	CA	F	5000	738	959	99	50907	9	48	963	797	11	0	2807	S1	13
58130	KY	F	283	149	227	0	7466	0	73	168	207	5.111111111	0	0	R3	7
111459	AR	Female	1054	584	726	11	26074	2	63	644	652	13.53846154	28	5801	C1	20
77574	WI	F	1260	252	404	24	17617	6	79	357	309	4.857142857	2	2301	C2	5
157536	CA	F	3009	411	546	85	20728	12	39	455	493	12.5	2	1901	C2	17
86270	SD	M	462	224	253	0	8866	1	55	264	248	8	2	5501	C2	16
71882	MI	F	574	299	420	0	17296	3	72	363	360	6.166666667	0	0	C2	14
53213	TN	F	402	194	267	0	8742	0	84	229	234	12	0	4401	R3	15
121292	TX	F	557	211	205	0	5550	30	60	188	221	13	3	0	U3	16
101614	MO	F	320	148	233	0	9379	0	78	183	202	13.33333333	0	4401	R2	21
161479	OR	F	758	407	457	0	17576	4	53	409	455	7.454545455	2	2101	S2	11
74183	MI	F	836	332	425	15	13813	3	74	354	380	4.476190476	2	0	0	5
53611	TN	F	468	245	315	0	11358	0	66	308	294	8	28	5401	S3	18.25
143610	CA	F	5000	569	932	99	52576	21	34	936	712	15	0	0	U1	5.25
158534	CA	F	2541	423	528	75	19220	16	48	486	454	24.28571429	0	4801	S1	25
66265	MI	M	497	362	421	0	13649	7	79	452	384	20.41666667	1	4511	S3	40
141468	NV	M	1003	258	386	5	15748	12	13	322	318	25	0	1801	S2	25
121683	TX	M	770	477	578	0	19810	8	54	522	522	20	1	5101	S1	10
130239	CO	M	739	369	428	0	14453	3	53	368	419	20	0	5601	S2	20
987	GA	F	2140	773	850	59	33069	1	48	789	816	3.761904762	0	4301	S1	3
76585	IA	F	1282	550	703	15	26007	2	66	637	607	4.857142857	0	3110	C1	5
155240	CA	F	1167	211	406	4	16425	6	21	272	329	11.14285714	28	2201	C2	15
147841	CA	F	5626	1023	1051	98	62324	20	40	1109	969	30.75	0	1706	S1	100
140481	NM	F	636	281	341	1	11957	4	47	311	295	8.75	2	5201	T3	20
159034	CA	M	1834	442	420	23	11448	20	46	371	441	14.8	1	1601	U2	21
3933	IL	M	912	334	453	0	14883	18	78	393	375	8.5625	1	6606	U2	20
167138	CA	F	2125	375	468	58	21196	9	57	399	411	20	0	5301	U1	30
100900	MO	F	1180	513	607	7	19444	4	55	548	554	5.5	2	0	C1	5
161634	CA	F	669	190	226	0	7245	28	50	198	214	8.4	28	6302	C2	15
162945	CA	F	0	132	186	0	9308	46	21	147	178	4.5	0	1201	U4	5
12626	GA	F	533	301	386	0	11562	5	48	349	339	8.2	2	0	R2	9
134005	UT	M	582	361	392	0	12270	0	62	368	385	9.666666667	13	1409	C2	10
176948	OR	M	480	203	237	1	8973	2	50	217	202	17.33333333	1	2401	T2	20
123270	TX	M	435	174	289	1	7881	24	63	209	256	12.83333333	0	3508	C3	10
133884	ID	F	609	250	323	1	10580	1	34	291	290	3.908571429	0	0	T2	50
21815	NC	female	548	213	317	0	11564	1	86	307	256	5.8	0	7101	T2	5
56700	KY	M	447	214	314	0	12305	1	88	280	265	12.33333333	1	0	C3	20
41920	FL	M	467	192	323	0	10376	6	33	261	261	15	0	4201	U4	15
68440	MI	M	327	232	325	0	12587	1	48	256	284	13.66666667	2	3101	U4	15
8013	IL	F	890	437	455	5	20927	13	63	426	459	8.285714286	0	3701	S1	10
12801	CA	F	2947	564	754	86	44438	9	28	658	665	15	28	2001	S1	15
36495	FL	F	679	192	321	0	13762	28	11	238	242	7.428571429	0	401	U3	10
151730	CA	F	1522	374	537	9	20172	3	42	485	453	5	0	0	U2	5
89174	IL	M	5324	1159	1217	95	95913	12	45	1500	1053	22.25	1	805	S1	20
5123	CA	F	1878	351	475	45	15262	9	62	439	389	5.3	2	0	T2	6
3931	IN	F	529	277	397	0	12618	2	71	360	345	17.5	2	0	C2	10
8330	FL	F	742	239	356	9	18464	10	0	293	290	5.727272727	28	2501	C2	5
113354	OK	F	466	332	399	0	12452	5	69	368	368	10.87878788	0	5501	S2	20
164296	CA	F	911	325	384	0	16016	8	58	358	330	5.944444444	2	3601	S2	10
184017	WA	male	952	414	529	4	23125	2	48	452	484	14.22222222	1002	3501	R1	20
37852	FL	M	879	235	327	1	9954	70	17	251	303	10.5	0	6009	U3	20
64170	IN	F	573	393	471	1	16377	0	69	437	413	16.28571429	0	3001	T2	15
152118	CA	F	1644	396	489	35	16298	3	54	426	450	3	2	2209	S2	4
190281	CO	F	905	215	331	3	10917	10	37	245	269	13.14285714	2	0	S3	25
28786	GA	F	406	183	287	1	8848	0	83	225	245	7.444444444	0	0	R3	10
45551	FL		0	0	0	0	0	0	0	0	0	12.5	2	0	S3	15
181931	WA	F	430	221	243	0	8096	5	59	234	236	10.27272727	0	1909	U1	13
45431	FL	F	492	200	288	0	13616	10	7	244	243	15	1	2609	C3	20
25635	GA	M	553	325	345	0	11881	2	69	334	343	7.2	1	2001	S2	11
135112	Arizona	Female	719	313	407	1	13050	2	52	366	331	5.428571429	0	3001	U2	8
179111	WA	male	1761	583	715	31	25887	13	38	588	692	12.5	0	4201	S1	20
65596	MI	M	587	438	473	0	14390	2	89	466	438	4.590909091	1002	5801	S2	9
73282	MI	M	800	409	478	1	14218	3	85	448	433	20.83333333	1	2201	S2	25
146241	CA	M	3196	655	731	91	21091	33	41	692	695	30	1	3401	U1	50
60098	IN	M	789	383	462	0	17643	1	79	434	412	9.916666667	1	4106	S2	25
74361	MI	M	545	265	328	3	10786	1	84	281	312	10.0625	0	7012	R2	10
82857	MN	M	745	326	428	1	15081	3	76	382	374	11.42857143	1	3804	S1	10
38580	FL	M	1144	333	505	0	16518	29	27	443	436	14.81818182	0	3607	S2	10
36471	FL	F	730	181	272	1	12098	33	22	191	287	10.5	28	2710	U3	20
140135	NM	F	506	191	273	2	8923	7	72	214	253	14.81818182	28	3901	R2	20
133029	ID	F	488	159	234	0	8393	1	62	220	203	11.94117647	0	3801	C2	5
161829	CA	F	1748	351	391	22	14059	24	24	355	382	5.523809524	0	3402	S2	10
168268	CA	F	2159	233	394	67	12950	8	62	280	247	20.17647059	0	2207	U2	15
19490	NC	female	739	309	451	0	17709	5	40	402	405	10.42857143	28	4201	C2	10
166899	CA	F	2153	320	397	60	15000	16	46	379	360	22.5	2	3601	S2	35
145982	CA	F	2051	523	561	54	19319	10	55	545	543	33	0	5801	S2	30
187764	Arizona		1553	634	725	32	29972	4	17	653	694	23.33333333	0	0	0	25
171227	CA	M	986	354	405	1	13968	5	58	389	369	7.6	1	0	S2	7
27419	GA	M	442	218	286	0	9399	0	78	253	257	15	1	0	R3	20
106488	KS	F	405	241	349	0	11254	4	59	274	291	21.06666667	0	0	R2	26
