,_id,order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer,geometria,producto,cantidad,opiniones
43,6207981ff1ffd716fe69dab3,ORD379700,ID2190564628,2019-08-05,Nickolson,"('Candle Inferno', 1)",17510,75.37,-37.8162093,144.9640567,5,16709.87,Winter,True,0.5513,"good quality price ratio bought it for my mom, she uses, she loves, yay! i am done.",True,"{'type': 'Point', 'coordinates': [144.9640567, -37.8162093]}",Candle Inferno,1,Neutral
43,6207981ff1ffd716fe69dab3,ORD379700,ID2190564628,2019-08-05,Nickolson,"('Alcon 10', 1)",17510,75.37,-37.8162093,144.9640567,5,16709.87,Winter,True,0.5513,"good quality price ratio bought it for my mom, she uses, she loves, yay! i am done.",True,"{'type': 'Point', 'coordinates': [144.9640567, -37.8162093]}",Alcon 10,1,Neutral
43,6207981ff1ffd716fe69dab3,ORD379700,ID2190564628,2019-08-05,Nickolson,"('Lucent 330S', 1)",17510,75.37,-37.8162093,144.9640567,5,16709.87,Winter,True,0.5513,"good quality price ratio bought it for my mom, she uses, she loves, yay! i am done.",True,"{'type': 'Point', 'coordinates': [144.9640567, -37.8162093]}",Lucent 330S,1,Neutral
43,6207981ff1ffd716fe69dab3,ORD379700,ID2190564628,2019-08-05,Nickolson,"('Universe Note', 2)",17510,75.37,-37.8162093,144.9640567,5,16709.87,Winter,True,0.5513,"good quality price ratio bought it for my mom, she uses, she loves, yay! i am done.",True,"{'type': 'Point', 'coordinates': [144.9640567, -37.8162093]}",Universe Note,2,Neutral
44,6207981ff1ffd716fe69d99f,ORD481832,ID0589473307,2019-02-02,Nickolson,"('Universe Note', 2)",14070,73.33,-37.8200673,144.9586124,15,620502.3,Summer,False,0.9757,"very pleased with the thunder 2nd generation. it is so nice to have iassist available for music, weather, news, and probably a lot more we haven’t discovered.",True,"{'type': 'Point', 'coordinates': [144.9586124, -37.8200673]}",Universe Note,2,Good
44,6207981ff1ffd716fe69d99f,ORD481832,ID0589473307,2019-02-02,Nickolson,"('Candle Inferno', 2)",14070,73.33,-37.8200673,144.9586124,15,620502.3,Summer,False,0.9757,"very pleased with the thunder 2nd generation. it is so nice to have iassist available for music, weather, news, and probably a lot more we haven’t discovered.",True,"{'type': 'Point', 'coordinates': [144.9586124, -37.8200673]}",Candle Inferno,2,Good
44,6207981ff1ffd716fe69d99f,ORD481832,ID0589473307,2019-02-02,Nickolson,"('pearTV', 1)",14070,73.33,-37.8200673,144.9586124,15,620502.3,Summer,False,0.9757,"very pleased with the thunder 2nd generation. it is so nice to have iassist available for music, weather, news, and probably a lot more we haven’t discovered.",True,"{'type': 'Point', 'coordinates': [144.9586124, -37.8200673]}",pearTV,1,Good
45,6207981ff1ffd716fe69dad1,ORD288323,ID0589488285,2019-12-16,Nickolson,"('Olivia x460', 1)",10175,75.06,-37.8200867,144.9584,10,9232.56,Summer,False,0.9945,"i purchased an thunder line for my husband for fathers day.  he uses it constantly and after hearing the quality of sound of the thunder (2nd generation), it was a no-brainer.  best gift ever!",True,"{'type': 'Point', 'coordinates': [144.9584, -37.8200867]}",Olivia x460,1,Good
45,6207981ff1ffd716fe69dad1,ORD288323,ID0589488285,2019-12-16,Nickolson,"('Alcon 10', 1)",10175,75.06,-37.8200867,144.9584,10,9232.56,Summer,False,0.9945,"i purchased an thunder line for my husband for fathers day.  he uses it constantly and after hearing the quality of sound of the thunder (2nd generation), it was a no-brainer.  best gift ever!",True,"{'type': 'Point', 'coordinates': [144.9584, -37.8200867]}",Alcon 10,1,Good
46,6207981ff1ffd716fe69dab5,ORD086060,ID0130015098,2019-03-28,Nickolson,"('pearTV', 2)",22120,62.29,-37.8154693,144.9680827,0,22182.29,Autumn,True,0.3711,one star it was the wrong phone,False,"{'type': 'Point', 'coordinates': [144.9680827, -37.8154693]}",pearTV,2,Poor
46,6207981ff1ffd716fe69dab5,ORD086060,ID0130015098,2019-03-28,Nickolson,"('Candle Inferno', 2)",22120,62.29,-37.8154693,144.9680827,0,22182.29,Autumn,True,0.3711,one star it was the wrong phone,False,"{'type': 'Point', 'coordinates': [144.9680827, -37.8154693]}",Candle Inferno,2,Poor
46,6207981ff1ffd716fe69dab5,ORD086060,ID0130015098,2019-03-28,Nickolson,"('Toshika 750', 2)",22120,62.29,-37.8154693,144.9680827,0,22182.29,Autumn,True,0.3711,one star it was the wrong phone,False,"{'type': 'Point', 'coordinates': [144.9680827, -37.8154693]}",Toshika 750,2,Poor
47,6207981ff1ffd716fe69d9e5,ORD016275,ID6282174092,2019-02-26,Nickolson,"('iAssist Line', 2)",13520,73.65,-37.8233588,144.9785671,0,13593.65,Spring,False,0.9538,i would definitely recommend edge cellular the phone was exactly what i was looking for. i would definitely recommend edge cellular.,True,"{'type': 'Point', 'coordinates': [144.9785671, -37.8233588]}",iAssist Line,2,Neutral
47,6207981ff1ffd716fe69d9e5,ORD016275,ID6282174092,2019-02-26,Nickolson,"('Candle Inferno', 1)",13520,73.65,-37.8233588,144.9785671,0,13593.65,Spring,False,0.9538,i would definitely recommend edge cellular the phone was exactly what i was looking for. i would definitely recommend edge cellular.,True,"{'type': 'Point', 'coordinates': [144.9785671, -37.8233588]}",Candle Inferno,1,Neutral
47,6207981ff1ffd716fe69d9e5,ORD016275,ID6282174092,2019-02-26,Nickolson,"('Toshika 750', 2)",13520,73.65,-37.8233588,144.9785671,0,13593.65,Spring,False,0.9538,i would definitely recommend edge cellular the phone was exactly what i was looking for. i would definitely recommend edge cellular.,True,"{'type': 'Point', 'coordinates': [144.9785671, -37.8233588]}",Toshika 750,2,Neutral
48,6207981ff1ffd716fe69d978,ORD494479,ID0579391891,2019-03-02,Nickolson,"('Thunder line', 1)",10670,65.87,-37.8213016,144.9575809,10,9668.87,Autumn,False,1.0949,five stars this is a great cheap phone.,True,"{'type': 'Point', 'coordinates': [144.9575809, -37.8213016]}",Thunder line,1,Good
48,6207981ff1ffd716fe69d978,ORD494479,ID0579391891,2019-03-02,Nickolson,"('pearTV', 2)",10670,65.87,-37.8213016,144.9575809,10,9668.87,Autumn,False,1.0949,five stars this is a great cheap phone.,True,"{'type': 'Point', 'coordinates': [144.9575809, -37.8213016]}",pearTV,2,Good
49,6207981ff1ffd716fe69d9d7,ORD397354,ID0247024616,2019-02-28,Nickolson,"('pearTV', 2)",15660,87.96,-37.8154546,144.9704567,0,15747.96,Summer,True,0.3585,five stars easy to setup and use,True,"{'type': 'Point', 'coordinates': [144.9704567, -37.8154546]}",pearTV,2,Neutral
49,6207981ff1ffd716fe69d9d7,ORD397354,ID0247024616,2019-02-28,Nickolson,"('Thunder line', 1)",15660,87.96,-37.8154546,144.9704567,0,15747.96,Summer,True,0.3585,five stars easy to setup and use,True,"{'type': 'Point', 'coordinates': [144.9704567, -37.8154546]}",Thunder line,1,Neutral
49,6207981ff1ffd716fe69d9d7,ORD397354,ID0247024616,2019-02-28,Nickolson,"('Candle Inferno', 2)",15660,87.96,-37.8154546,144.9704567,0,15747.96,Summer,True,0.3585,five stars easy to setup and use,True,"{'type': 'Point', 'coordinates': [144.9704567, -37.8154546]}",Candle Inferno,2,Neutral
50,6207981ff1ffd716fe69d9ad,ORD442452,ID0582560124,2019-08-26,Nickolson,"('Alcon 10', 2)",43520,62.93,-37.8221851,144.9786566,5,41406.93,Winter,True,0.8949,"was not described accurately phone was labeled as ""verizon"" and ""unlocked"" but is neither. this cellphone is only serviceable with at&t which i don't have making the phone worthless to me.",False,"{'type': 'Point', 'coordinates': [144.9786566, -37.8221851]}",Alcon 10,2,Neutral
50,6207981ff1ffd716fe69d9ad,ORD442452,ID0582560124,2019-08-26,Nickolson,"('Toshika 750', 2)",43520,62.93,-37.8221851,144.9786566,5,41406.93,Winter,True,0.8949,"was not described accurately phone was labeled as ""verizon"" and ""unlocked"" but is neither. this cellphone is only serviceable with at&t which i don't have making the phone worthless to me.",False,"{'type': 'Point', 'coordinates': [144.9786566, -37.8221851]}",Toshika 750,2,Neutral
50,6207981ff1ffd716fe69d9ad,ORD442452,ID0582560124,2019-08-26,Nickolson,"('pearTV', 2)",43520,62.93,-37.8221851,144.9786566,5,41406.93,Winter,True,0.8949,"was not described accurately phone was labeled as ""verizon"" and ""unlocked"" but is neither. this cellphone is only serviceable with at&t which i don't have making the phone worthless to me.",False,"{'type': 'Point', 'coordinates': [144.9786566, -37.8221851]}",pearTV,2,Neutral
50,6207981ff1ffd716fe69d9ad,ORD442452,ID0582560124,2019-08-26,Nickolson,"('Thunder line', 2)",43520,62.93,-37.8221851,144.9786566,5,41406.93,Winter,True,0.8949,"was not described accurately phone was labeled as ""verizon"" and ""unlocked"" but is neither. this cellphone is only serviceable with at&t which i don't have making the phone worthless to me.",False,"{'type': 'Point', 'coordinates': [144.9786566, -37.8221851]}",Thunder line,2,Neutral
51,6207981ff1ffd716fe69daed,ORD266257,ID6167344582,2019-11-03,Nickolson,"('pearTV', 2)",19525,97.32,-37.8158463,144.9724814,0,19622.32,Spring,True,0.4,"2 years now, i review this on my s8+ i love it",True,"{'type': 'Point', 'coordinates': [144.9724814, -37.8158463]}",pearTV,2,Neutral
51,6207981ff1ffd716fe69daed,ORD266257,ID6167344582,2019-11-03,Nickolson,"('Universe Note', 1)",19525,97.32,-37.8158463,144.9724814,0,19622.32,Spring,True,0.4,"2 years now, i review this on my s8+ i love it",True,"{'type': 'Point', 'coordinates': [144.9724814, -37.8158463]}",Universe Note,1,Neutral
51,6207981ff1ffd716fe69daed,ORD266257,ID6167344582,2019-11-03,Nickolson,"('iAssist Line', 1)",19525,97.32,-37.8158463,144.9724814,0,19622.32,Spring,True,0.4,"2 years now, i review this on my s8+ i love it",True,"{'type': 'Point', 'coordinates': [144.9724814, -37.8158463]}",iAssist Line,1,Neutral
51,6207981ff1ffd716fe69daed,ORD266257,ID6167344582,2019-11-03,Nickolson,"('Lucent 330S', 1)",19525,97.32,-37.8158463,144.9724814,0,19622.32,Spring,True,0.4,"2 years now, i review this on my s8+ i love it",True,"{'type': 'Point', 'coordinates': [144.9724814, -37.8158463]}",Lucent 330S,1,Neutral
52,6207981ff1ffd716fe69dae8,ORD301674,ID3072718448,2019-03-24,Nickolson,"('Thunder line', 2)",15460,80.44,-37.8252348,144.9567953,25,11675.44,Autumn,True,1.3433,i love this phone i love this phone. it's pritty easy to get use to but i'm sure i haven't even come close to learning what it is able to do.,True,"{'type': 'Point', 'coordinates': [144.9567953, -37.8252348]}",Thunder line,2,Neutral
52,6207981ff1ffd716fe69dae8,ORD301674,ID3072718448,2019-03-24,Nickolson,"('Lucent 330S', 2)",15460,80.44,-37.8252348,144.9567953,25,11675.44,Autumn,True,1.3433,i love this phone i love this phone. it's pritty easy to get use to but i'm sure i haven't even come close to learning what it is able to do.,True,"{'type': 'Point', 'coordinates': [144.9567953, -37.8252348]}",Lucent 330S,2,Neutral
52,6207981ff1ffd716fe69dae8,ORD301674,ID3072718448,2019-03-24,Nickolson,"('Toshika 750', 2)",15460,80.44,-37.8252348,144.9567953,25,11675.44,Autumn,True,1.3433,i love this phone i love this phone. it's pritty easy to get use to but i'm sure i haven't even come close to learning what it is able to do.,True,"{'type': 'Point', 'coordinates': [144.9567953, -37.8252348]}",Toshika 750,2,Neutral
53,6207981ff1ffd716fe69d989,ORD232940,ID2020835025,2019-01-04,Nickolson,"('iAssist Line', 1)",6545,77.11,-37.8149171,144.9680205,5,6294.86,Summer,True,61.2935,tablet had trouble from the begging it kept restarting and rebooting i had to return it.,False,"{'type': 'Point', 'coordinates': [144.9680205, -37.8149171]}",iAssist Line,1,Neutral
53,6207981ff1ffd716fe69d989,ORD232940,ID2020835025,2019-01-04,Nickolson,"('Toshika 750', 1)",6545,77.11,-37.8149171,144.9680205,5,6294.86,Summer,True,61.2935,tablet had trouble from the begging it kept restarting and rebooting i had to return it.,False,"{'type': 'Point', 'coordinates': [144.9680205, -37.8149171]}",Toshika 750,1,Neutral
54,6207981ff1ffd716fe69dabe,ORD347364,ID0624924254,2019-12-19,Thompson,"('pearTV', 1)",19860,76.79,-37.8198852,144.9577337,10,17950.79,Summer,False,1.049,works fine for what it is this phone is basic. works fine for what it is.,True,"{'type': 'Point', 'coordinates': [144.9577337, -37.8198852]}",pearTV,1,Neutral
54,6207981ff1ffd716fe69dabe,ORD347364,ID0624924254,2019-12-19,Thompson,"('Olivia x460', 2)",19860,76.79,-37.8198852,144.9577337,10,17950.79,Summer,False,1.049,works fine for what it is this phone is basic. works fine for what it is.,True,"{'type': 'Point', 'coordinates': [144.9577337, -37.8198852]}",Olivia x460,2,Neutral
54,6207981ff1ffd716fe69dabe,ORD347364,ID0624924254,2019-12-19,Thompson,"('Lucent 330S', 2)",19860,76.79,-37.8198852,144.9577337,10,17950.79,Summer,False,1.049,works fine for what it is this phone is basic. works fine for what it is.,True,"{'type': 'Point', 'coordinates': [144.9577337, -37.8198852]}",Lucent 330S,2,Neutral
54,6207981ff1ffd716fe69dabe,ORD347364,ID0624924254,2019-12-19,Thompson,"('Toshika 750', 2)",19860,76.79,-37.8198852,144.9577337,10,17950.79,Summer,False,1.049,works fine for what it is this phone is basic. works fine for what it is.,True,"{'type': 'Point', 'coordinates': [144.9577337, -37.8198852]}",Toshika 750,2,Neutral
55,6207981ff1ffd716fe69da7e,ORD355844,ID0591274456,2019-04-25,Nickolson,"('ISTREAM', 1)",24050,52.14,-37.8244678,144.9565472,5,22899.64,Autumn,False,1.3171,love digico but ... omg worst phone ever. seriously. i was in a time crunch and had to have a phone as i was traveling to nashville. i love you guys though. i host a morning show in dallas and always talk about you. but man that phone sucks,False,"{'type': 'Point', 'coordinates': [144.9565472, -37.8244678]}",ISTREAM,1,Neutral
55,6207981ff1ffd716fe69da7e,ORD355844,ID0591274456,2019-04-25,Nickolson,"('ALCON 10', 1)",24050,52.14,-37.8244678,144.9565472,5,22899.64,Autumn,False,1.3171,love digico but ... omg worst phone ever. seriously. i was in a time crunch and had to have a phone as i was traveling to nashville. i love you guys though. i host a morning show in dallas and always talk about you. but man that phone sucks,False,"{'type': 'Point', 'coordinates': [144.9565472, -37.8244678]}",ALCON 10,1,Neutral
55,6207981ff1ffd716fe69da7e,ORD355844,ID0591274456,2019-04-25,Nickolson,"('PEARTV', 1)",24050,52.14,-37.8244678,144.9565472,5,22899.64,Autumn,False,1.3171,love digico but ... omg worst phone ever. seriously. i was in a time crunch and had to have a phone as i was traveling to nashville. i love you guys though. i host a morning show in dallas and always talk about you. but man that phone sucks,False,"{'type': 'Point', 'coordinates': [144.9565472, -37.8244678]}",PEARTV,1,Neutral
55,6207981ff1ffd716fe69da7e,ORD355844,ID0591274456,2019-04-25,Nickolson,"('TOSHIKA 750', 2)",24050,52.14,-37.8244678,144.9565472,5,22899.64,Autumn,False,1.3171,love digico but ... omg worst phone ever. seriously. i was in a time crunch and had to have a phone as i was traveling to nashville. i love you guys though. i host a morning show in dallas and always talk about you. but man that phone sucks,False,"{'type': 'Point', 'coordinates': [144.9565472, -37.8244678]}",TOSHIKA 750,2,Neutral
56,6207981ff1ffd716fe69dafe,ORD184511,ID0591274456,2019-05-05,Nickolson,"('pearTV', 2)",22925,67.15,-37.8244678,144.9565472,25,17260.9,Autumn,True,1.3171,not a good product last me me lest than a month photo camara started acting up and i couldn't make calls out.,False,"{'type': 'Point', 'coordinates': [144.9565472, -37.8244678]}",pearTV,2,Good
56,6207981ff1ffd716fe69dafe,ORD184511,ID0591274456,2019-05-05,Nickolson,"('Thunder line', 1)",22925,67.15,-37.8244678,144.9565472,25,17260.9,Autumn,True,1.3171,not a good product last me me lest than a month photo camara started acting up and i couldn't make calls out.,False,"{'type': 'Point', 'coordinates': [144.9565472, -37.8244678]}",Thunder line,1,Good
56,6207981ff1ffd716fe69dafe,ORD184511,ID0591274456,2019-05-05,Nickolson,"('Olivia x460', 1)",22925,67.15,-37.8244678,144.9565472,25,17260.9,Autumn,True,1.3171,not a good product last me me lest than a month photo camara started acting up and i couldn't make calls out.,False,"{'type': 'Point', 'coordinates': [144.9565472, -37.8244678]}",Olivia x460,1,Good
56,6207981ff1ffd716fe69dafe,ORD184511,ID0591274456,2019-05-05,Nickolson,"('Universe Note', 2)",22925,67.15,-37.8244678,144.9565472,25,17260.9,Autumn,True,1.3171,not a good product last me me lest than a month photo camara started acting up and i couldn't make calls out.,False,"{'type': 'Point', 'coordinates': [144.9565472, -37.8244678]}",Universe Note,2,Good
57,6207981ff1ffd716fe69d981,ORD361636,ID0589500304,2019-12-05,Nickolson,"('Lucent 330S', 1)",13850,77.29,-37.8202279,144.9574109,25,10464.79,Summer,False,1.0829,great phone great deal! phone in fantastic condition 3 months already..knock on wood,True,"{'type': 'Point', 'coordinates': [144.9574109, -37.8202279]}",Lucent 330S,1,Good
57,6207981ff1ffd716fe69d981,ORD361636,ID0589500304,2019-12-05,Nickolson,"('pearTV', 2)",13850,77.29,-37.8202279,144.9574109,25,10464.79,Summer,False,1.0829,great phone great deal! phone in fantastic condition 3 months already..knock on wood,True,"{'type': 'Point', 'coordinates': [144.9574109, -37.8202279]}",pearTV,2,Good
58,6207981ff1ffd716fe69da27,ORD453377,ID2180785618,2019-03-27,Nickolson,"('Toshika 750', 1)",23450,77.17,-37.8146899,144.9690651,5,22354.67,Autumn,True,0.4368,i would order it again i was really happy with his phone thanks,True,"{'type': 'Point', 'coordinates': [144.9690651, -37.8146899]}",Toshika 750,1,Neutral
58,6207981ff1ffd716fe69da27,ORD453377,ID2180785618,2019-03-27,Nickolson,"('Lucent 330S', 1)",23450,77.17,-37.8146899,144.9690651,5,22354.67,Autumn,True,0.4368,i would order it again i was really happy with his phone thanks,True,"{'type': 'Point', 'coordinates': [144.9690651, -37.8146899]}",Lucent 330S,1,Neutral
58,6207981ff1ffd716fe69da27,ORD453377,ID2180785618,2019-03-27,Nickolson,"('Alcon 10', 2)",23450,77.17,-37.8146899,144.9690651,5,22354.67,Autumn,True,0.4368,i would order it again i was really happy with his phone thanks,True,"{'type': 'Point', 'coordinates': [144.9690651, -37.8146899]}",Alcon 10,2,Neutral
59,6207981ff1ffd716fe69daf0,ORD225422,ID6167191155,2019-07-18,Nickolson,"('Olivia x460', 2)",14670,73.4,-37.814639,144.9690426,25,11075.9,Winter,True,0.4426,"don't buy from this dealer. this is the 2nd universe s7 edge i have bought recently off digico, but this one i bought from a different dealer, and it's excellent.",True,"{'type': 'Point', 'coordinates': [144.9690426, -37.814639]}",Olivia x460,2,Good
59,6207981ff1ffd716fe69daf0,ORD225422,ID6167191155,2019-07-18,Nickolson,"('Universe Note', 1)",14670,73.4,-37.814639,144.9690426,25,11075.9,Winter,True,0.4426,"don't buy from this dealer. this is the 2nd universe s7 edge i have bought recently off digico, but this one i bought from a different dealer, and it's excellent.",True,"{'type': 'Point', 'coordinates': [144.9690426, -37.814639]}",Universe Note,1,Good
59,6207981ff1ffd716fe69daf0,ORD225422,ID6167191155,2019-07-18,Nickolson,"('Toshika 750', 1)",14670,73.4,-37.814639,144.9690426,25,11075.9,Winter,True,0.4426,"don't buy from this dealer. this is the 2nd universe s7 edge i have bought recently off digico, but this one i bought from a different dealer, and it's excellent.",True,"{'type': 'Point', 'coordinates': [144.9690426, -37.814639]}",Toshika 750,1,Good
59,6207981ff1ffd716fe69daf0,ORD225422,ID6167191155,2019-07-18,Nickolson,"('iAssist Line', 2)",14670,73.4,-37.814639,144.9690426,25,11075.9,Winter,True,0.4426,"don't buy from this dealer. this is the 2nd universe s7 edge i have bought recently off digico, but this one i bought from a different dealer, and it's excellent.",True,"{'type': 'Point', 'coordinates': [144.9690426, -37.814639]}",iAssist Line,2,Good
60,6207981ff1ffd716fe69da0e,ORD480424,ID6167440966,2019-04-07,Nickolson,"('Lucent 330S', 1)",5590,77.5,-37.8152578,144.9634694,25,4270.0,Autumn,True,0.6512,"good quality phone. well built, good power, no glitches. i've had many android phones like olivia, lg, and huawei. this is my 3rd lucentrola, and they consistently have had good build quality.",True,"{'type': 'Point', 'coordinates': [144.9634694, -37.8152578]}",Lucent 330S,1,Good
60,6207981ff1ffd716fe69da0e,ORD480424,ID6167440966,2019-04-07,Nickolson,"('Thunder line', 2)",5590,77.5,-37.8152578,144.9634694,25,4270.0,Autumn,True,0.6512,"good quality phone. well built, good power, no glitches. i've had many android phones like olivia, lg, and huawei. this is my 3rd lucentrola, and they consistently have had good build quality.",True,"{'type': 'Point', 'coordinates': [144.9634694, -37.8152578]}",Thunder line,2,Good
61,6207981ff1ffd716fe69db15,ORD494241,ID2189161536,2019-09-11,Nickolson,"('iAssist Line', 2)",16390,103.7,-37.8176132,144.9591096,0,16493.7,Spring,True,0.9247,good phone but it died love this phone. lasted less than a year.,False,"{'type': 'Point', 'coordinates': [144.9591096, -37.8176132]}",iAssist Line,2,Neutral
61,6207981ff1ffd716fe69db15,ORD494241,ID2189161536,2019-09-11,Nickolson,"('Universe Note', 1)",16390,103.7,-37.8176132,144.9591096,0,16493.7,Spring,True,0.9247,good phone but it died love this phone. lasted less than a year.,False,"{'type': 'Point', 'coordinates': [144.9591096, -37.8176132]}",Universe Note,1,Neutral
61,6207981ff1ffd716fe69db15,ORD494241,ID2189161536,2019-09-11,Nickolson,"('Thunder line', 1)",16390,103.7,-37.8176132,144.9591096,0,16493.7,Spring,True,0.9247,good phone but it died love this phone. lasted less than a year.,False,"{'type': 'Point', 'coordinates': [144.9591096, -37.8176132]}",Thunder line,1,Neutral
61,6207981ff1ffd716fe69db15,ORD494241,ID2189161536,2019-09-11,Nickolson,"('pearTV', 1)",16390,103.7,-37.8176132,144.9591096,0,16493.7,Spring,True,0.9247,good phone but it died love this phone. lasted less than a year.,False,"{'type': 'Point', 'coordinates': [144.9591096, -37.8176132]}",pearTV,1,Neutral
62,6207981ff1ffd716fe69dae3,ORD333358,ID2191736653,2019-05-15,Nickolson,"('Alcon 10', 1)",24340,79.71,-37.8235722,144.9560719,10,21985.71,Autumn,True,1.3084,"great product! only one negative...cases on these phones are just too darned slick. hard to hold when you're an old geezer. otherwise, it has been great! love not having to charge the phone every time i turn around! have not yet set up fingerprint thingamajig....waiting for shock proof cover!",True,"{'type': 'Point', 'coordinates': [144.9560719, -37.8235722]}",Alcon 10,1,Good
62,6207981ff1ffd716fe69dae3,ORD333358,ID2191736653,2019-05-15,Nickolson,"('pearTV', 1)",24340,79.71,-37.8235722,144.9560719,10,21985.71,Autumn,True,1.3084,"great product! only one negative...cases on these phones are just too darned slick. hard to hold when you're an old geezer. otherwise, it has been great! love not having to charge the phone every time i turn around! have not yet set up fingerprint thingamajig....waiting for shock proof cover!",True,"{'type': 'Point', 'coordinates': [144.9560719, -37.8235722]}",pearTV,1,Good
62,6207981ff1ffd716fe69dae3,ORD333358,ID2191736653,2019-05-15,Nickolson,"('Thunder line', 1)",24340,79.71,-37.8235722,144.9560719,10,21985.71,Autumn,True,1.3084,"great product! only one negative...cases on these phones are just too darned slick. hard to hold when you're an old geezer. otherwise, it has been great! love not having to charge the phone every time i turn around! have not yet set up fingerprint thingamajig....waiting for shock proof cover!",True,"{'type': 'Point', 'coordinates': [144.9560719, -37.8235722]}",Thunder line,1,Good
62,6207981ff1ffd716fe69dae3,ORD333358,ID2191736653,2019-05-15,Nickolson,"('Universe Note', 2)",24340,79.71,-37.8235722,144.9560719,10,21985.71,Autumn,True,1.3084,"great product! only one negative...cases on these phones are just too darned slick. hard to hold when you're an old geezer. otherwise, it has been great! love not having to charge the phone every time i turn around! have not yet set up fingerprint thingamajig....waiting for shock proof cover!",True,"{'type': 'Point', 'coordinates': [144.9560719, -37.8235722]}",Universe Note,2,Good
63,6207981ff1ffd716fe69db59,ORD051005,ID0026051948,2019-02-24,Nickolson,"('iAssist Line', 1)",4405,69.62,-37.8150464,144.9718458,15,3813.87,Summer,False,0.4436,we got this for our 9 yr old daughter and its perfect for her. there hasn't been any issue with the games and educational apps she uses.,True,"{'type': 'Point', 'coordinates': [144.9718458, -37.8150464]}",iAssist Line,1,Neutral
63,6207981ff1ffd716fe69db59,ORD051005,ID0026051948,2019-02-24,Nickolson,"('Thunder line', 1)",4405,69.62,-37.8150464,144.9718458,15,3813.87,Summer,False,0.4436,we got this for our 9 yr old daughter and its perfect for her. there hasn't been any issue with the games and educational apps she uses.,True,"{'type': 'Point', 'coordinates': [144.9718458, -37.8150464]}",Thunder line,1,Neutral
64,6207981ff1ffd716fe69db3f,ORD379975,ID0144730304,2019-01-13,Nickolson,"('iAssist Line', 1)",96385,77.51,-37.8192601,144.9575378,25,8458.76,Summer,False,1.059,good quality great price,True,"{'type': 'Point', 'coordinates': [144.9575378, -37.8192601]}",iAssist Line,1,Good
64,6207981ff1ffd716fe69db3f,ORD379975,ID0144730304,2019-01-13,Nickolson,"('Alcon 10', 1)",96385,77.51,-37.8192601,144.9575378,25,8458.76,Summer,False,1.059,good quality great price,True,"{'type': 'Point', 'coordinates': [144.9575378, -37.8192601]}",Alcon 10,1,Good
65,6207981ff1ffd716fe69da40,ORD408988,ID0103299651,2019-12-12,Nickolson,"('Lucent 330S', 1)",25025,58.37,-37.8155991,144.9622488,10,22580.87,Summer,False,0.7236,one star motherboard died after 6 weeks. unrepairable.,False,"{'type': 'Point', 'coordinates': [144.9622488, -37.8155991]}",Lucent 330S,1,Poor
65,6207981ff1ffd716fe69da40,ORD408988,ID0103299651,2019-12-12,Nickolson,"('Alcon 10', 1)",25025,58.37,-37.8155991,144.9622488,10,22580.87,Summer,False,0.7236,one star motherboard died after 6 weeks. unrepairable.,False,"{'type': 'Point', 'coordinates': [144.9622488, -37.8155991]}",Alcon 10,1,Poor
65,6207981ff1ffd716fe69da40,ORD408988,ID0103299651,2019-12-12,Nickolson,"('iAssist Line', 1)",25025,58.37,-37.8155991,144.9622488,10,22580.87,Summer,False,0.7236,one star motherboard died after 6 weeks. unrepairable.,False,"{'type': 'Point', 'coordinates': [144.9622488, -37.8155991]}",iAssist Line,1,Poor
65,6207981ff1ffd716fe69da40,ORD408988,ID0103299651,2019-12-12,Nickolson,"('pearTV', 2)",25025,58.37,-37.8155991,144.9622488,10,22580.87,Summer,False,0.7236,one star motherboard died after 6 weeks. unrepairable.,False,"{'type': 'Point', 'coordinates': [144.9622488, -37.8155991]}",pearTV,2,Poor
66,6207981ff1ffd716fe69db51,ORD291961,ID0582557918,2019-05-17,Nickolson,"('Universe Note', 2)",10585,79.98,-37.8207881,144.979309,25,8018.73,Autumn,True,0.8921,nice easy-to-use tablet. we just got it and so far so good,True,"{'type': 'Point', 'coordinates': [144.979309, -37.8207881]}",Universe Note,2,Neutral
66,6207981ff1ffd716fe69db51,ORD291961,ID0582557918,2019-05-17,Nickolson,"('Olivia x460', 1)",10585,79.98,-37.8207881,144.979309,25,8018.73,Autumn,True,0.8921,nice easy-to-use tablet. we just got it and so far so good,True,"{'type': 'Point', 'coordinates': [144.979309, -37.8207881]}",Olivia x460,1,Neutral
66,6207981ff1ffd716fe69db51,ORD291961,ID0582557918,2019-05-17,Nickolson,"('Lucent 330S', 2)",10585,79.98,-37.8207881,144.979309,25,8018.73,Autumn,True,0.8921,nice easy-to-use tablet. we just got it and so far so good,True,"{'type': 'Point', 'coordinates': [144.979309, -37.8207881]}",Lucent 330S,2,Neutral
67,6207981ff1ffd716fe69da45,ORD077302,ID1594632498,2019-08-13,Nickolson,"('THUNDER LINE', 1)",8085,77.8,-37.8206783,144.9793054,15,6950.05,Winter,True,0.8885,five stars excellent condition!!!,True,"{'type': 'Point', 'coordinates': [144.9793054, -37.8206783]}",THUNDER LINE,1,Good
