fid,etiqueta,granularidad,cod_tipocat,cod_tipo,nom_tipo,cod_categor,nom_categor,gcd_isla,nom_isla,gcd_entitur,nom_entitur,gcd_nucltur,nom_nucltur,gcd_municipio,nom_municipio,direccion,prc_habita,prc_plazas,longitud,latitud,geohash,utm_x,utm_y
"164",APARTAMENTOS SAN MARCIAL,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B23,Puerto del Carmen: Matagorda - Los Pocillos,"35028",Tías,"CALLE ALPAHOR, 4",De 40 a 79 apartamentos,260 o más plazas,-13.61815449,28.934537271,etnkd57efh,634683.37,3201518.81
"165","APARTAMENTOS CALAS I, LAS",ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE GUAYADEQUE, 3",Menor de 20 apartamentos,Menor de 50 plazas,-13.66037985,28.92417526,etnk91kzd1,630580.4,3200323.33
"166","APARTAMENTOS CALAS II, LAS",ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE GUAYADEQUE, 3",De 40 a 79 apartamentos,De 120 a 259 plazas,-13.66038325,28.924142534,etnk91kz3f,630580.11,3200319.7
"167",HOTEL APART. LAS LANZAS,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B21,Las Canteras,"35016",Las Palmas de Gran Canaria,"CALLE BERNARDO DE LA TORRE, 79",De 50 a 149 habitaciones,De 100 a 349 plazas,-15.43476649,28.140612484,etj00fbdzy,457308.05,3112855.29
"168",APARTAMENTOS ELENA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE NICARAGUA, 3",De 40 a 79 apartamentos,De 120 a 259 plazas,-13.65534383,28.920985979,etnk92bkzq,631075.35,3199975.5
"169",APARTAMENTOS NAUTILUS LANZAROTE,ALOJAMIENTOS,A4,5510_L6,Apartamentos,"4",4 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B23,Puerto del Carmen: Matagorda - Los Pocillos,"35028",Tías,"CALLE GRAMILLO, 5",De 40 a 79 apartamentos,De 120 a 259 plazas,-13.61979689,28.933936926,etnkd5627s,634524.05,3201450.42
"170",APARTAMENTOS BITACORA LANZAROTE CLUB,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE ALCORCE, 11",80 o más apartamentos,260 o más plazas,-13.66100912,28.925050333,etnk91skek,630517.96,3200419.6
"171",APARTAMENTOS OASIS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE ARPON, 5",De 40 a 79 apartamentos,De 50 a 119 plazas,-13.64831333,28.92289353,etnk93m854,631758.33,3200194.67
"172",APARTAMENTOS CLUB DEL CARMEN,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B23,Puerto del Carmen: Matagorda - Los Pocillos,"35028",Tías,"CALLE NORUEGA, 2",De 40 a 79 apartamentos,De 120 a 259 plazas,-13.6408031,28.924189404,etnk997pd5,632488.83,3200346.64
"173",APARTAMENTOS LOMO BLANCO,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE GUADARFIA, 1",80 o más apartamentos,260 o más plazas,-13.66454601,28.923071951,etnk913c15,630175.64,3200196.49
"174",APARTAMENTOS PRINCESA ICO,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE PRINCESA ICO, 15",Menor de 20 apartamentos,Menor de 50 plazas,-13.66055487,28.923271909,etnk91kdq0,630564.47,3200223.04
"175",APARTAMENTOS ISABEL,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE VENECIA, 23",Menor de 20 apartamentos,De 50 a 119 plazas,-13.65626339,28.92396412,etnk91ry3c,630981.96,3200304.48
"176",APARTAMENTOS ISLA DE LOBOS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE GUANAPAY, 6",De 20 a 39 apartamentos,De 50 a 119 plazas,-13.66247533,28.922978024,etnk917293,630377.62,3200188.36
"177","APARTAMENTOS LILAS, LAS",ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE PEDRO BARBA, 10",De 20 a 39 apartamentos,Menor de 50 plazas,-13.65120743,28.922119625,etnk9357xc,631477.17,3200105.7
"178",HOTEL DOÑA LUISA,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B21,Las Canteras,"35016",Las Palmas de Gran Canaria,"CALLE ALFREDO L. JONES, 29 -  ESQ. C/. 29 DE ABRIL",Menor de 50 habitaciones,Menor de 100 plazas,-15.43280931,28.141985813,etj00g44vq,457500.78,3113006.74
"179",APARTAMENTOS CLUB MARITIMA,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE MIRAFONDO, 3",De 20 a 39 apartamentos,De 50 a 119 plazas,-13.64638205,28.923330958,etnk93r487,631946.05,3200245.29
"180",APARTAMENTOS VISTA MAR,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE LAS MAJADAS, 4",De 20 a 39 apartamentos,Menor de 50 plazas,-13.66638063,28.923400678,etnk9127n2,629996.38,3200230.9
"181",HOTEL BELIVE EXPERIENCE LANZAROTE BEACH,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES708,Lanzarote,ES708B1,Costa Teguise,ES708B12,Costa Teguise: Litoral,"35024",Teguise,"PLAZA JANUBIO , 2",De 150 a 299 habitaciones,De 350 a 649 plazas,-13.48976254,28.996095878,etnkvn949b,647111.65,3208493.06
"182",APARTAMENTOS OASIS LAS CALAS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE GUAYADEQUE, 3",Menor de 20 apartamentos,Menor de 50 plazas,-13.66070504,28.924142487,etnk91kx6d,630548.74,3200319.34
"183","APARTAMENTOS TULIPANES, LOS",ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE FINLANDIA, 18",De 20 a 39 apartamentos,De 50 a 119 plazas,-13.64687567,28.924523212,etnk93w9s9,631896.42,3200376.85
"184",APARTAMENTOS GALEON PLAYA,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B1,Costa Teguise,ES708B12,Costa Teguise: Litoral,"35024",Teguise,"AVENIDA LAS CONCHAS, 3",80 o más apartamentos,260 o más plazas,-13.48792791,28.994172208,etnkvn4rk9,647293.11,3208282.18
"185",SUITE HOTEL MONTANA CLUB,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE TIMON, 3",De 50 a 149 habitaciones,De 100 a 349 plazas,-13.65022297,28.923175308,etnk93k1wy,631571.81,3200223.77
"186",APARTAMENTOS VILLA CANAIMA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B23,Puerto del Carmen: Matagorda - Los Pocillos,"35028",Tías,"CALLE TOMILLO, 5 - MATAGORDA",De 20 a 39 apartamentos,De 50 a 119 plazas,-13.62317561,28.934800175,etnk9grvmj,634193.59,3201542.24
"187",APARTAMENTOS PLAYA FLAMINGO (FLAMINGO BEACH RESORT),ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B3,Playa Blanca - Puerto Calero,ES708B31,Playa Blanca: Montaña Roja,"35034",Yaiza,"URBANIZACIÓN MONTAÑA ROJA, S/N",80 o más apartamentos,260 o más plazas,-13.84194918,28.859584796,etnhjj8x70,612950.31,3192979.97
"188",APARTAMENTOS GUARAPO,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B1,Costa Teguise,ES708B12,Costa Teguise: Litoral,"35024",Teguise,"CALLE LAS TABAIBAS, 10",De 40 a 79 apartamentos,De 120 a 259 plazas,-13.4953523,28.995851922,etnkuyscp6,646567.43,3208459.08
"189",HOTEL PUJOL,ALOJAMIENTOS,H2,5510_L1,Hotel,"2",2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B21,Las Canteras,"35016",Las Palmas de Gran Canaria,"CALLE SALVADOR CUYAS, 5",Menor de 50 habitaciones,Menor de 100 plazas,-15.43077093,28.143847367,etj00g7tuc,457701.67,3113212.25
"190",APARTAMENTOS SOL,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B1,Costa Teguise,ES708B12,Costa Teguise: Litoral,"35024",Teguise,"CALLE HERVIDEROS, S/N",De 40 a 79 apartamentos,De 50 a 119 plazas,-13.48839996,29.003921859,etnmj0401d,647233.3,3209361.97
"191",APARTAMENTOS TAMARINDOS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B21,Puerto del Carmen: Casco,"35028",Tías,"CALLE SALINAS, 12",De 40 a 79 apartamentos,De 50 a 119 plazas,-13.66983766,28.925119351,etnk8ctvj9,629657.23,3200417.55
"192",APARTAMENTOS MORROMAR,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B23,Puerto del Carmen: Matagorda - Los Pocillos,"35028",Tías,"CALLE MATO, 13 - PARC.29,30,31",80 o más apartamentos,260 o más plazas,-13.62158773,28.935513836,etnkd591d4,634347.45,3201623.12
"193",APARTAMENTOS THE LAS GAVIOTAS,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B23,Puerto del Carmen: Matagorda - Los Pocillos,"35028",Tías,"CALLE MATO, 1",80 o más apartamentos,260 o más plazas,-13.61878504,28.932692516,etnkd5515k,634624.29,3201313.68
"194",APARTAMENTOS CLUB OCEANO,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE ALCORCE, 3",De 40 a 79 apartamentos,De 120 a 259 plazas,-13.66105917,28.92290294,etnk91k245,630515.77,3200181.6
"195",HOTEL BARCELO TEGUISE BEACH,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES708,Lanzarote,ES708B1,Costa Teguise,ES708B12,Costa Teguise: Litoral,"35024",Teguise,"PASEO MARITIMO, S/N",300 o más habitaciones,De 350 a 649 plazas,-13.48953258,28.995737646,etnkvn90rj,647134.56,3208453.65
"196",APARTAMENTOS COSTA RICA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,"35019",San Bartolomé de Tirajana,"CALLE ROMA, 16",De 20 a 39 apartamentos,Menor de 50 plazas,-15.57235833,27.752044478,esuvvshe3u,443595.46,3069866.75
"197",BLUE SEA LANZAROTE PALM,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE ANZUELO, 60",80 o más apartamentos,260 o más plazas,-13.65411763,28.92340066,etnk93375b,631191.85,3200244.42
"198",APARTAMENTOS PRINCESA GUAYADEQUE,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE CESAR MANRIQUE, 13",De 20 a 39 apartamentos,De 50 a 119 plazas,-13.65612387,28.922358309,etnk91puvq,630997.58,3200126.7
"199",APARTAMENTOS ACUARIO SOL,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE ROCIEGA, 46",80 o más apartamentos,260 o más plazas,-13.64688635,28.923100121,etnk93q9k2,631897.18,3200219.15
"200",HOTEL FAYCAN,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B21,Las Canteras,"35016",Las Palmas de Gran Canaria,"CALLE NICOLAS ESTEVANEZ, 61",De 50 a 149 habitaciones,De 100 a 349 plazas,-15.43598177,28.139166836,etj00dxfe8,457188.14,3112695.57
"201",APARTAMENTOS LAS BRISAS,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B3,Playa Blanca - Puerto Calero,ES708B31,Playa Blanca: Montaña Roja,"35034",Yaiza,"C/ LA GOMERA, Nº 1",80 o más apartamentos,260 o más plazas,-13.83247519,28.864147067,etnhjnx3zf,613869.45,3193494.53
"202",APARTAMENTOS COSTA VOLCAN,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,CALLE LA GRACIOSA 5,80 o más apartamentos,De 120 a 259 plazas,-13.66925596,28.921710363,etnk8cn35m,629718.18,3200040.45
"203",APARTAMENTOS VIA BUGANVILLAS SOL Y PLAYA,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE CESAR MANRIQUE, 10",Menor de 20 apartamentos,Menor de 50 plazas,-13.65585564,28.92193571,etnk93047x,631024.26,3200080.17
"204",APARTAMENTOS CASTILLO DE PAPAGAYO,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B9,Resto de Lanzarote,ES708B9,Resto de Lanzarote,"35010",Haría,CALLE CABRERA PERAZA,Menor de 20 apartamentos,Menor de 50 plazas,-13.45145384,29.083365162,etnmmykyyk,650716.86,3218211.99
"205",APARTAMENTOS OCEANO,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B1,Costa Teguise,ES708B12,Costa Teguise: Litoral,"35024",Teguise,"AVENIDA DEL JABLILLO, 12",De 40 a 79 apartamentos,De 50 a 119 plazas,-13.49060168,28.995812826,etnkvn82y5,647030.3,3208460.65
"206",APARTAMENTOS OASIS LANZ BEACH MATE,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B1,Costa Teguise,ES708B12,Costa Teguise: Litoral,"35024",Teguise,"AVENIDA DEL JABLILLO, 5",80 o más apartamentos,260 o más plazas,-13.49177951,28.995199761,etnkuyrt6b,646916.42,3208391.25
"207",APARTAMENTOS COSTA LUZ,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B23,Puerto del Carmen: Matagorda - Los Pocillos,"35028",Tías,"CALLE INGLATERRA, S/N BLOQUE III",De 40 a 79 apartamentos,De 120 a 259 plazas,-13.6403525,28.922166567,etnk9957ud,632535.33,3200123
"208",APARTAMENTOS GUTIERREZ,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES708,Lanzarote,ES708B3,Playa Blanca - Puerto Calero,ES708B32,Playa Blanca: Playa Blanca,"35034",Yaiza,"PLAZA NUESTRA SRA. DEL CARMEN, 2",Menor de 20 apartamentos,Menor de 50 plazas,-13.82908881,28.862912661,etnhjq3fwu,614201.1,3193361.01
"209",APARTAMENTOS LAS ACACIAS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE PRINCESA GUAYARMINA, 1",Menor de 20 apartamentos,Menor de 50 plazas,-13.66031078,28.92294125,etnk91kb7e,630588.68,3200186.67
"210",APARTAMENTOS AGUA MARINA,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B21,Puerto del Carmen: Casco,"35028",Tías,"CALLE TEIDE, 41",De 20 a 39 apartamentos,De 50 a 119 plazas,-13.67555087,28.922216183,etnk8c1u0e,629103.88,3200089.62
"211",HOTEL ALOE CANTERAS - TENESOYA,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B21,Las Canteras,"35016",Las Palmas de Gran Canaria,"CALLE SAGASTA, 98",Menor de 50 habitaciones,Menor de 100 plazas,-15.42994211,28.147815335,etj00uhkbm,457784.61,3113651.53
"212",APARTAMENTOS MAR AZUL PLAYA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B23,Puerto del Carmen: Matagorda - Los Pocillos,"35028",Tías,"CALLE GRAMA, 4",De 20 a 39 apartamentos,De 50 a 119 plazas,-13.6233848,28.931927328,etnk9fzu8n,634176.9,3201223.67
"213",APARTAMENTOS NEPTUNO SUITES,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B1,Costa Teguise,ES708B12,Costa Teguise: Litoral,"35024",Teguise,"AVENIDA JABLILLO, S/N",De 40 a 79 apartamentos,De 50 a 119 plazas,-13.48784212,28.99362789,etnkvn4kn7,647302.24,3208221.97
"214","APARTAMENTOS CASITAS, LAS",ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES708,Lanzarote,ES708B3,Playa Blanca - Puerto Calero,ES708B31,Playa Blanca: Montaña Roja,"35034",Yaiza,"AVENIDA CANARIAS, S/N",De 40 a 79 apartamentos,De 120 a 259 plazas,-13.8336325,28.862832374,etnhjnqdhv,613758,3193347.75
"215","APARTAMENTOS CALAS III, LAS",ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE GUAYADEQUE, 3",De 40 a 79 apartamentos,De 120 a 259 plazas,-13.65958928,28.924461778,etnk91t3hw,630657.11,3200355.95
"216",HOTEL SAND BEACH RESORT,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES708,Lanzarote,ES708B1,Costa Teguise,ES708B12,Costa Teguise: Litoral,"35024",Teguise,"AVENIDA ISLAS CANARIAS, 18",300 o más habitaciones,650 o más plazas,-13.48278892,29.003904833,etnkvpypup,647779.92,3209367.09
"217",APARTAMENTOS LAS PALMERAS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE PRINCESA GUAYARMINA, 2",Menor de 20 apartamentos,Menor de 50 plazas,-13.66045001,28.922675503,etnk91hyb3,630575.44,3200157.07
"218",APARTAMENTOS SAN FRANCISCO PARK,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE CHALANA, 7",De 20 a 39 apartamentos,De 50 a 119 plazas,-13.64971881,28.921250152,etnk92uw6r,631623.39,3200011.01
"219",HOTEL LOS ZOCOS CLUB RESORT,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES708,Lanzarote,ES708B1,Costa Teguise,ES708B12,Costa Teguise: Litoral,"35024",Teguise,"AVENIDA ISLAS CANARIAS, 15",300 o más habitaciones,650 o más plazas,-13.48582507,29.00186692,etnkvpeuj7,647487.05,3209137.47
"220",APARTAMENTOS CINCO PLAZAS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE ANZUELO, 56",80 o más apartamentos,260 o más plazas,-13.65374122,28.921784717,etnk9319sg,631230.58,3200065.78
"221",APARTAMENTOS LA MORAÑA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE GUANAPAY, 2",De 40 a 79 apartamentos,De 120 a 259 plazas,-13.6623144,28.920930874,etnk90gkth,630395.87,3199961.7
"222",HOTEL SOL LANZAROTE,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B23,Puerto del Carmen: Matagorda - Los Pocillos,"35028",Tías,"CALLE GRAMMA, 2 URBANIZACIÓN. MATAGORDA",300 o más habitaciones,650 o más plazas,-13.62352969,28.931373251,etnk9fz9kw,634163.49,3201162.11
"223",HOTEL VEROL,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B21,Las Canteras,"35016",Las Palmas de Gran Canaria,"CALLE SAGASTA, 25",Menor de 50 habitaciones,Menor de 100 plazas,-15.43152327,28.14345314,etj00g757r,457627.64,3113168.84
"224",APARTAMENTOS FAYNA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE PEDRO BARBA, 5",De 20 a 39 apartamentos,De 50 a 119 plazas,-13.6515105,28.920395597,etnk92g388,631449.8,3199914.33
"225",HOTEL TBH FLORA,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B21,Puerto del Carmen: Casco,"35028",Tías,"CALLE REINA SOFIA, 25",De 150 a 299 habitaciones,De 350 a 649 plazas,-13.67466331,28.924865607,etnk8cd7t1,629187.12,3200384.16
"226",APARTAMENTOS LAGO VERDE,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B21,Puerto del Carmen: Casco,"35028",Tías,"CALLE TESTEYNA, 1",De 20 a 39 apartamentos,De 50 a 119 plazas,-13.67533927,28.924264531,etnk8c9bj3,629121.97,3200316.82
"227",APARTAMENTOS ATLANTIS LAS LOMAS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"TINGUATON, 7",80 o más apartamentos,260 o más plazas,-13.66321222,28.922308937,etnk914u8j,630306.62,3200113.41
"228",APARTAMENTOS ROCAS BLANCAS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"AVENIDA LAS PLAYAS, 39",De 40 a 79 apartamentos,De 120 a 259 plazas,-13.65480793,28.919940344,etnk928ygg,631128.91,3199860.23
"229",APARTAMENTOS JABLE BERMUDAS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE BERNEGAL, 2",80 o más apartamentos,De 120 a 259 plazas,-13.66154853,28.921716719,etnk915cny,630469.55,3200049.62
"230",APARTAMENTOS PLAYA BLANCA FARIONES,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,CALLE ROQUE DEL ESTE S/N,Menor de 20 apartamentos,De 50 a 119 plazas,-13.66714238,28.920127991,etnk8bxzuw,629926.2,3199867.43
"231",APARTAMENTOS BARCAROLA CLUB,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"AVENIDA LAS PLAYAS, 53",80 o más apartamentos,De 120 a 259 plazas,-13.64633329,28.920293197,etnk92z0cm,631954.65,3199908.74
"232",APARTAMENTOS LA PEÑITA,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B22,Puerto del Carmen: Playa Grande,"35028",Tías,"CALLE LA CHALANA, 2",80 o más apartamentos,De 120 a 259 plazas,-13.64873167,28.921071756,etnk92vm3w,631719.85,3199992.34
"233",LA ISLA Y EL MAR HOTEL BOUTIQUE,ALOJAMIENTOS,H5,5510_L1,Hotel,"5",5 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B21,Puerto del Carmen: Casco,"35028",Tías,"REINA SOFIA, 23",De 50 a 149 habitaciones,De 100 a 349 plazas,-13.67355024,28.924403677,etnk8ce0z5,629296.2,3200334.19
"234",HOTEL SANTA CATALINA ROYAL HIDEAWAY,ALOJAMIENTOS,H5,5510_L1,Hotel,"5",5 Estrellas,ES705,Gran Canaria,ES705B9,Resto de Gran Canaria,ES705B9,Resto de Gran Canaria,"35016",Las Palmas de Gran Canaria,"CALLE LEON Y CASTILLO, 227",De 150 a 299 habitaciones,De 350 a 649 plazas,-15.42822772,28.121060854,esvpbzm901,457942.5,3110687.1
