,song,artist,date,explicit,uri,popularity,ironhacker,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
62,Drop It Like It's Hot,"['Snoop Dogg', 'Pharrell Williams']",2004-01-01,True,spotify:track:2NBQmPrOEEjA8VbeWOQGxO,81,Fer,0.888,0.632,1,-3.872,1,0.219,0.19,0.0,0.101,0.662,91.979,audio_features,2NBQmPrOEEjA8VbeWOQGxO,https://api.spotify.com/v1/tracks/2NBQmPrOEEjA8VbeWOQGxO,https://api.spotify.com/v1/audio-analysis/2NBQmPrOEEjA8VbeWOQGxO,266067,4
63,Ride Wit Me,"['Nelly', 'City Spud']",2000-06-27,True,spotify:track:3Gf5nttwcX9aaSQXRWidEZ,80,Fer,0.85,0.7,7,-6.49,1,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,audio_features,3Gf5nttwcX9aaSQXRWidEZ,https://api.spotify.com/v1/tracks/3Gf5nttwcX9aaSQXRWidEZ,https://api.spotify.com/v1/audio-analysis/3Gf5nttwcX9aaSQXRWidEZ,291782,4
64,Cocody Rock,Alpha Blondy,2013-12-02,False,spotify:track:3LTJjpjOGt6lW8TaenjHlr,59,Fer,0.796,0.667,6,-6.322,0,0.0983,0.105,8.24e-05,0.0933,0.958,147.372,audio_features,3LTJjpjOGt6lW8TaenjHlr,https://api.spotify.com/v1/tracks/3LTJjpjOGt6lW8TaenjHlr,https://api.spotify.com/v1/audio-analysis/3LTJjpjOGt6lW8TaenjHlr,293960,4
65,Un'emozione per sempre,Eros Ramazzotti,2003-05-19,False,spotify:track:1Hd8GLavCUUUx3GJdunJ4E,62,Fer,0.675,0.823,4,-4.513,1,0.0305,0.0967,0.0,0.265,0.817,119.902,audio_features,1Hd8GLavCUUUx3GJdunJ4E,https://api.spotify.com/v1/tracks/1Hd8GLavCUUUx3GJdunJ4E,https://api.spotify.com/v1/audio-analysis/1Hd8GLavCUUUx3GJdunJ4E,236587,4
66,La Hora De Bailar,Sandy & Papo,2005-01-01,False,spotify:track:6vPvOIFPhNGH8p4bhNjHHy,48,Fer,0.908,0.696,1,-9.499,1,0.0655,0.0953,0.0,0.0395,0.872,133.545,audio_features,6vPvOIFPhNGH8p4bhNjHHy,https://api.spotify.com/v1/tracks/6vPvOIFPhNGH8p4bhNjHHy,https://api.spotify.com/v1/audio-analysis/6vPvOIFPhNGH8p4bhNjHHy,288107,4
67,La vie c'est fantastique - Fantastique Radio Mix,"['S.M.S.', 'Rehb']",2001-01-01,False,spotify:track:3Xr90hZyFtjLaRithi6WtQ,45,Fer,0.848,0.829,2,-7.379,1,0.0365,0.0257,0.11,0.335,0.865,134.012,audio_features,3Xr90hZyFtjLaRithi6WtQ,https://api.spotify.com/v1/tracks/3Xr90hZyFtjLaRithi6WtQ,https://api.spotify.com/v1/audio-analysis/3Xr90hZyFtjLaRithi6WtQ,225867,4
68,Because I Got High,Afroman,2001-08-28,True,spotify:track:0rRboI6IRuGx56Dq3UdYY4,73,Fer,0.802,0.341,7,-8.56,1,0.488,0.169,0.0,0.0783,0.849,166.01,audio_features,0rRboI6IRuGx56Dq3UdYY4,https://api.spotify.com/v1/tracks/0rRboI6IRuGx56Dq3UdYY4,https://api.spotify.com/v1/audio-analysis/0rRboI6IRuGx56Dq3UdYY4,197760,4
69,Israelites,Desmond Dekker,1968-01-01,False,spotify:track:0di7hMT6o1ogeUN1XDB9Ft,60,Miguel,0.743,0.541,10,-9.61,1,0.0581,0.225,0.000586,0.0542,0.972,74.095,audio_features,0di7hMT6o1ogeUN1XDB9Ft,https://api.spotify.com/v1/tracks/0di7hMT6o1ogeUN1XDB9Ft,https://api.spotify.com/v1/audio-analysis/0di7hMT6o1ogeUN1XDB9Ft,155867,4
70,Skinhead Girl,Symarip,2008-09-29,False,spotify:track:7Jw2jj2NtZQDcZzhNxzBG7,35,Miguel,0.896,0.547,6,-7.733,0,0.0745,0.331,0.0196,0.129,0.847,134.628,audio_features,7Jw2jj2NtZQDcZzhNxzBG7,https://api.spotify.com/v1/tracks/7Jw2jj2NtZQDcZzhNxzBG7,https://api.spotify.com/v1/audio-analysis/7Jw2jj2NtZQDcZzhNxzBG7,144587,4
71,Bam Bam,Sister Nancy,2002-03-15,False,spotify:track:7ixiCZEHWHc8FxaQXQh2P4,72,Miguel,0.722,0.605,5,-6.07,1,0.153,0.825,0.0178,0.248,0.709,165.998,audio_features,7ixiCZEHWHc8FxaQXQh2P4,https://api.spotify.com/v1/tracks/7ixiCZEHWHc8FxaQXQh2P4,https://api.spotify.com/v1/audio-analysis/7ixiCZEHWHc8FxaQXQh2P4,196507,4
72,Funky Kingston,Toots & The Maytals,1973-01-01,False,spotify:track:26WPI2aksB9XdqmeLfca5z,60,Miguel,0.777,0.458,11,-12.358,1,0.0841,0.265,0.00295,0.0423,0.961,99.05,audio_features,26WPI2aksB9XdqmeLfca5z,https://api.spotify.com/v1/tracks/26WPI2aksB9XdqmeLfca5z,https://api.spotify.com/v1/audio-analysis/26WPI2aksB9XdqmeLfca5z,295667,4
73,"Oh Bondage, Up Yours!",X-Ray Spex,2013-01-01,False,spotify:track:18WswjCcjs3vmz4qWNOrSC,44,Miguel,0.458,0.71,2,-6.666,1,0.0447,0.0196,0.00217,0.0618,0.64,158.886,audio_features,18WswjCcjs3vmz4qWNOrSC,https://api.spotify.com/v1/tracks/18WswjCcjs3vmz4qWNOrSC,https://api.spotify.com/v1/audio-analysis/18WswjCcjs3vmz4qWNOrSC,169760,4
74,Rebel Girl,Bikini Kill,2015-10-13,False,spotify:track:0XyjtybwqSdqMAFfBEkmZf,63,Miguel,0.435,0.939,8,-3.845,0,0.111,0.0122,0.00466,0.0614,0.559,134.938,audio_features,0XyjtybwqSdqMAFfBEkmZf,https://api.spotify.com/v1/tracks/0XyjtybwqSdqMAFfBEkmZf,https://api.spotify.com/v1/audio-analysis/0XyjtybwqSdqMAFfBEkmZf,157333,4
75,Deceptacon,Le Tigre,1999-10-26,True,spotify:track:5773KSWFzg9kCc8yazjbSt,74,Miguel,0.603,0.864,4,-3.341,0,0.0668,0.055,0.00493,0.0986,0.616,160.488,audio_features,5773KSWFzg9kCc8yazjbSt,https://api.spotify.com/v1/tracks/5773KSWFzg9kCc8yazjbSt,https://api.spotify.com/v1/audio-analysis/5773KSWFzg9kCc8yazjbSt,184627,4
76,Lucha contra el tecno,Larsen,1983-09-01,True,spotify:track:5tX37tp7l4LtxtTyyOV237,11,Miguel,0.553,0.697,11,-12.636,1,0.0711,0.000456,0.00605,0.195,0.65,92.492,audio_features,5tX37tp7l4LtxtTyyOV237,https://api.spotify.com/v1/tracks/5tX37tp7l4LtxtTyyOV237,https://api.spotify.com/v1/audio-analysis/5tX37tp7l4LtxtTyyOV237,161600,4
77,He Visto a la Virgen,Putilatex,2008-07-01,True,spotify:track:4q0uuMYXyKyMjmlONSu1tY,28,Miguel,0.48,0.959,2,-3.541,1,0.0426,0.0197,3.84e-05,0.0945,0.326,167.978,audio_features,4q0uuMYXyKyMjmlONSu1tY,https://api.spotify.com/v1/tracks/4q0uuMYXyKyMjmlONSu1tY,https://api.spotify.com/v1/audio-analysis/4q0uuMYXyKyMjmlONSu1tY,304120,4
78,Autosuficiencia,Paralisis Permanente,1990-03-03,False,spotify:track:5p4QGTJiTFStnddffBS4bK,45,Miguel,0.511,0.972,1,-3.696,0,0.0584,0.011,2.24e-05,0.181,0.752,94.116,audio_features,5p4QGTJiTFStnddffBS4bK,https://api.spotify.com/v1/tracks/5p4QGTJiTFStnddffBS4bK,https://api.spotify.com/v1/audio-analysis/5p4QGTJiTFStnddffBS4bK,127600,4
79,I Feel Free,Cream,1966-12-09,False,spotify:track:62nYkaIBesfvQSSwTjPnYS,61,Miguel,0.375,0.448,9,-14.06,1,0.0264,0.106,5.55e-05,0.141,0.564,88.371,audio_features,62nYkaIBesfvQSSwTjPnYS,https://api.spotify.com/v1/tracks/62nYkaIBesfvQSSwTjPnYS,https://api.spotify.com/v1/audio-analysis/62nYkaIBesfvQSSwTjPnYS,171507,4
80,"Catch Me Daddy - Live at the Winterland Ballroom, San Francisco, CA - April 1968","['Big Brother & The Holding Company', 'Janis Joplin']",1968-08-12,False,spotify:track:3qVswYwjgXBH1IOSMP2j3z,15,Miguel,0.565,0.849,1,-8.621,1,0.282,0.171,4.34e-05,0.878,0.554,98.339,audio_features,3qVswYwjgXBH1IOSMP2j3z,https://api.spotify.com/v1/tracks/3qVswYwjgXBH1IOSMP2j3z,https://api.spotify.com/v1/audio-analysis/3qVswYwjgXBH1IOSMP2j3z,345307,4
81,Come Together,"['Ike & Tina Turner', 'The Ikettes']",1970-05-08,False,spotify:track:4XHuEHpj3YJIA5NGt7iyCh,47,Miguel,0.758,0.131,3,-21.955,0,0.0575,0.694,0.0133,0.141,0.257,78.554,audio_features,4XHuEHpj3YJIA5NGt7iyCh,https://api.spotify.com/v1/tracks/4XHuEHpj3YJIA5NGt7iyCh,https://api.spotify.com/v1/audio-analysis/4XHuEHpj3YJIA5NGt7iyCh,223307,4
82,I Wanna Be Your Dog,The Stooges,1969-08-05,False,spotify:track:672N8DGGTOLCOgWe0koX5g,64,Miguel,0.527,0.871,4,-8.708,1,0.0354,0.0229,0.155,0.419,0.107,120.722,audio_features,672N8DGGTOLCOgWe0koX5g,https://api.spotify.com/v1/tracks/672N8DGGTOLCOgWe0koX5g,https://api.spotify.com/v1/audio-analysis/672N8DGGTOLCOgWe0koX5g,188560,4
83,Short Change Hero,The Heavy,2009-10-05,False,spotify:track:7qxDU2QyH24KHW0OSGotVw,64,Miguel,0.68,0.64,1,-6.691,0,0.0336,0.29,0.00593,0.124,0.738,105.981,audio_features,7qxDU2QyH24KHW0OSGotVw,https://api.spotify.com/v1/tracks/7qxDU2QyH24KHW0OSGotVw,https://api.spotify.com/v1/audio-analysis/7qxDU2QyH24KHW0OSGotVw,322267,4
84,Joker And The Thief,Wolfmother,2005-01-01,False,spotify:track:6dNJ3lasVLPd0078T9yqlm,68,Miguel,0.264,0.8,0,-2.427,1,0.0537,0.0195,0.00744,0.406,0.465,155.558,audio_features,6dNJ3lasVLPd0078T9yqlm,https://api.spotify.com/v1/tracks/6dNJ3lasVLPd0078T9yqlm,https://api.spotify.com/v1/audio-analysis/6dNJ3lasVLPd0078T9yqlm,279667,4
85,WTF Is In My Cup,Chico Blanco,2018-06-04,False,spotify:track:66HxHtqsgk2NgVQRqEgxyb,46,JeanCha,0.831,0.55,0,-11.367,0,0.0629,0.292,0.896,0.107,0.523,123.065,audio_features,66HxHtqsgk2NgVQRqEgxyb,https://api.spotify.com/v1/tracks/66HxHtqsgk2NgVQRqEgxyb,https://api.spotify.com/v1/audio-analysis/66HxHtqsgk2NgVQRqEgxyb,267000,4
86,Belittle No One,Mad Zach,2017-08-03,False,spotify:track:4eXSKwMnEB21iLRgGyle1l,34,JeanCha,0.584,0.977,7,-7.975,1,0.0749,0.0156,0.889,0.539,0.399,113.112,audio_features,4eXSKwMnEB21iLRgGyle1l,https://api.spotify.com/v1/tracks/4eXSKwMnEB21iLRgGyle1l,https://api.spotify.com/v1/audio-analysis/4eXSKwMnEB21iLRgGyle1l,248471,4
